ポンプ	pump	massage	computer monitor 	young
マッサージ	massage	computer monitor 	young	unique
モニター	computer monitor 	young	unique	uniform
ヤング	young	unique	uniform	rice 
ユニーク	unique	uniform	rice 	label 
ユニフォーム	uniform	rice 	label 	lamp
ライス	rice 	label 	lamp	loose 
ラベル	label 	lamp	loose 	race 
ランプ	lamp	loose 	race 	lesson
ルーズ	loose 	race 	lesson	lady 
レース	race 	lesson	lady 	lever
レッスン	lesson	lady 	lever	range
レディー	lady 	lever	range	rental car
レバー	lever	range	rental car	viewing
レンジ	range	rental car	viewing	private property
レンタカー	rental car	viewing	private property	grade
観覧 (かんらん)	viewing	private property	grade	yearbook
私物 (しぶつ)	private property	grade	yearbook	perusing as a side business
等級 (とうきゅう)	grade	yearbook	perusing as a side business	retirement 
年鑑 (ねんかん)	yearbook	perusing as a side business	retirement 	retainer
兼業 (けんぎょう)	perusing as a side business	retirement 	retainer	to end
隠居 (いんきょ)	retirement 	retainer	to end	splendor
家来 (けらい)	retainer	to end	splendor	forwarding
果てる (はてる)	to end	splendor	forwarding	circulation 
華美 (かび)	splendor	forwarding	circulation 	sea route
回送 (かいそう)	forwarding	circulation 	sea route	outline
回覧 (かいらん)	circulation 	sea route	outline	to be distant
海路 (かいろ)	sea route	outline	to be distant	pardon
概略 (がいりゃく)	outline	to be distant	pardon	poverty
隔たる (へだたる)	to be distant	pardon	poverty	Go board
勘弁 (かんべん)	pardon	poverty	Go board	words
窮乏 (きゅうぼう)	poverty	Go board	words	dictation
碁盤 (ごばん)	Go board	words	dictation	high
語句 (ごく)	words	dictation	high	to serve
口述 (こうじゅつ)	dictation	high	to serve	to consult with
高尚 (こうしょう)	high	to serve	to consult with	type
仕える (つかえる)	to serve	to consult with	type	porcelain 
諮る (はかる)	to consult with	type	porcelain 	necklace
字体 (じたい)	type	porcelain 	necklace	general affairs
磁器 (じき)	porcelain 	necklace	general affairs	to call
