記述 (きじゅつ)	description	technique	strong	lesson
技 (わざ)	technique	strong	lesson	suburbs
強烈 (きょうれつ)	strong	lesson	suburbs	section 
教訓 (きょうくん)	lesson	suburbs	section 	armaments
近郊 (きんこう)	suburbs	section 	armaments	to publish
区間 (くかん)	section 	armaments	to publish	fixing 
軍備 (ぐんび)	armaments	to publish	fixing 	isolation
掲げる (かかげる)	to publish	fixing 	isolation	public corporation 
固定 (こてい)	fixing 	isolation	public corporation 	direction
孤立 (こりつ)	isolation	public corporation 	direction	work 
公団 (こうだん)	public corporation 	direction	work 	mission
向き (むき)	direction	work 	mission	practice
作 (さく)	work 	mission	practice	to catch
使命 (しめい)	mission	practice	to catch	to attack
実践 (じっせん)	practice	to catch	to attack	promotion
受け止める (うけとめる)	to catch	to attack	promotion	performance 
襲う (おそう)	to attack	promotion	performance 	colony 
昇進 (しょうしん)	promotion	performance 	colony 	professional duties
上演 (じょうえん)	performance 	colony 	professional duties	truth
植民地 (しょくみんち)	colony 	professional duties	truth	moving forward 
職務 (しょくむ)	professional duties	truth	moving forward 	hostage
真実 (しんじつ)	truth	moving forward 	hostage	water-filled paddy field
進行 (しんこう)	moving forward 	hostage	water-filled paddy field	limitation
人質 (ひとじち)	hostage	water-filled paddy field	limitation	youth
水田 (すいでん)	water-filled paddy field	limitation	youth	vivid
制約 (せいやく)	limitation	youth	vivid	launching 
青春 (せいしゅん)	youth	vivid	launching 	creation
鮮やか (あざやか)	vivid	launching 	creation	strife
創刊 (そうかん)	launching 	creation	strife	escape
創造 (そうぞう)	creation	strife	escape	withdrawal 
騒動 (そうどう)	strife	escape	withdrawal 	tanka
脱出 (だっしゅつ)	escape	withdrawal 	tanka	shortening
脱退 (だったい)	withdrawal 	tanka	shortening	lottery
短歌 (たんか)	tanka	shortening	lottery	tide
短縮 (たんしゅく)	shortening	lottery	tide	ceiling 
抽選 (ちゅうせん)	lottery	tide	ceiling 	inspection
潮 (しお)	tide	ceiling 	inspection	hit 
天井 (てんじょう)	ceiling 	inspection	hit 	like-mindedness
点検 (てんけん)	inspection	hit 	like-mindedness	conception
当たり (あたり)	hit 	like-mindedness	conception	agricultural land
