慣行 (かんこう)	customary practice	loose	union	one's speech
緩やか (ゆるやか)	loose	union	one's speech	the deceased
結束 (けっそく)	union	one's speech	the deceased	skillful
言論 (げんろん)	one's speech	the deceased	skillful	restriction
故人 (こじん)	the deceased	skillful	restriction	subtraction
巧み (たくみ)	skillful	restriction	subtraction	Imperial Palace 
拘束 (こうそく)	restriction	subtraction	Imperial Palace 	line 
控除 (こうじょ)	subtraction	Imperial Palace 	line 	to rise
皇居 (こうきょ)	Imperial Palace 	line 	to rise	return
行 (ぎょう)	line 	to rise	return	profit
高まる (たかまる)	to rise	return	profit	adoption
再発 (さいはつ)	return	profit	adoption	reference
採算 (さいさん)	profit	adoption	reference	mountains
採択 (さいたく)	adoption	reference	mountains	thought
参照 (さんしょう)	reference	mountains	thought	very much
山岳 (さんがく)	mountains	thought	very much	breeding
思考 (しこう)	thought	very much	breeding	continuation
至って (いたって)	very much	breeding	continuation	some
飼育 (しいく)	breeding	continuation	some	to accept
持続 (じぞく)	continuation	some	to accept	accommodation
若干 (じゃっかん)	some	to accept	accommodation	attack
受け入れる (うけいれる)	to accept	accommodation	attack	totalization
収容 (しゅうよう)	accommodation	attack	totalization	encouragement
襲撃 (しゅうげき)	attack	totalization	encouragement	illumination
集計 (しゅうけい)	totalization	encouragement	illumination	rise
奨励 (しょうれい)	encouragement	illumination	rise	landing
照明 (しょうめい)	illumination	rise	landing	passion
上がり (あがり)	rise	landing	passion	uniform
上陸 (じょうりく)	landing	passion	uniform	regular
情熱 (じょうねつ)	passion	uniform	regular	settlement 
制服 (せいふく)	uniform	regular	settlement 	vessel
正規 (せいき)	regular	settlement 	vessel	obstruction
清算 (せいさん)	settlement 	vessel	obstruction	carbon 
船舶 (せんぱく)	vessel	obstruction	carbon 	hell
阻止 (そし)	obstruction	carbon 	hell	landing
炭素 (たんそ)	carbon 	hell	landing	cooking
地獄 (じごく)	hell	landing	cooking	tradition
着陸 (ちゃくりく)	landing	cooking	tradition	engineering works
調理 (ちょうり)	cooking	tradition	engineering works	regulation
伝説 (でんせつ)	tradition	engineering works	regulation	patent
