蔵 (くら)	warehouse	face	sometimes	to bring forward 
建て前 (たてまえ)	face	sometimes	to bring forward 	residence
時折 (ときおり)	sometimes	to bring forward 	residence	theory
早める (はやめる)	to bring forward 	residence	theory	counter for questions
屋敷 (やしき)	residence	theory	counter for questions	stone monument bearing an inscription 
理屈 (りくつ)	theory	counter for questions	stone monument bearing an inscription 	faithful
問 (もん)	counter for questions	stone monument bearing an inscription 	faithful	stubbornness
碑 (いしぶみ)	stone monument bearing an inscription 	faithful	stubbornness	objection
忠実 (ちゅうじつ)	faithful	stubbornness	objection	change 
意地 (いじ)	stubbornness	objection	change 	migration
異議 (いぎ)	objection	change 	migration	transport
異動 (いどう)	change 	migration	transport	circuit 
移住 (いじゅう)	migration	transport	circuit 	reclamation 
運搬 (うんぱん)	transport	circuit 	reclamation 	optimism
回路 (かいろ)	circuit 	reclamation 	optimism	to bear
開拓 (かいたく)	reclamation 	optimism	to bear	conversion 
楽観 (らっかん)	optimism	to bear	conversion 	spectators
耐える (たえる)	to bear	conversion 	spectators	bowl
換算 (かんさん)	conversion 	spectators	bowl	prayer
観衆 (かんしゅう)	spectators	bowl	prayer	objectivity
器 (うつわ)	bowl	prayer	objectivity	excitement
祈り (いのり)	prayer	objectivity	excitement	group
客観 (きゃっかん)	objectivity	excitement	group	ending
興奮 (こうふん)	excitement	group	ending	nice
群 (ぐん)	group	ending	nice	archaeology
結び (むすび)	ending	nice	archaeology	march
好ましい (このましい)	nice	archaeology	march	mine 
考古学 (こうこがく)	archaeology	march	mine 	tableland
行進 (こうしん)	march	mine 	tableland	number
鉱山 (こうざん)	mine 	tableland	number	national ownership
高原 (こうげん)	tableland	number	national ownership	making necessary arrangements
号 (ごう)	number	national ownership	making necessary arrangements	root
国有 (こくゆう)	national ownership	making necessary arrangements	root	bacterium
根回し (ねまわし)	making necessary arrangements	root	bacterium	acid 
根底 (こんてい)	root	bacterium	acid 	wish
細菌 (さいきん)	bacterium	acid 	wish	orders
酸 (さん)	acid 	wish	orders	declining
志望 (しぼう)	wish	orders	declining	employment
指令 (しれい)	orders	declining	employment	completion 
辞退 (じたい)	declining	employment	completion 	sailing
