確保 (かくほ)	guarantee	revolution 	bureaucrat	monitoring
革命 (かくめい)	revolution 	bureaucrat	monitoring	relief
官僚 (かんりょう)	bureaucrat	monitoring	relief	tariff 
監視 (かんし)	monitoring	relief	tariff 	planning
緩和 (かんわ)	relief	tariff 	planning	association
関税 (かんぜい)	tariff 	planning	association	arrangement
企画 (きかく)	planning	association	arrangement	karma 
協会 (きょうかい)	association	arrangement	karma 	urgency
協定 (きょうてい)	arrangement	karma 	urgency	settlement of accounts
業 (ごう)	karma 	urgency	settlement of accounts	decision of a contest
緊急 (きんきゅう)	urgency	settlement of accounts	decision of a contest	political power
決算 (けっさん)	settlement of accounts	decision of a contest	political power	employment 
決勝 (けっしょう)	decision of a contest	political power	employment 	public performance 
権力 (けんりょく)	political power	employment 	public performance 	opening to the public
雇用 (こよう)	employment 	public performance 	opening to the public	plan
公演 (こうえん)	public performance 	opening to the public	plan	act
公開 (こうかい)	opening to the public	plan	act	purchase
構想 (こうそう)	plan	act	purchase	national defence
行為 (こうい)	act	purchase	national defence	being in the black
購入 (こうにゅう)	purchase	national defence	being in the black	use
国防 (こくぼう)	national defence	being in the black	use	tactics
黒字 (くろじ)	being in the black	use	tactics	death
採用 (さいよう)	use	tactics	death	property
作戦 (さくせん)	tactics	death	property	medical treatment
死 (し)	death	property	medical treatment	self
資産 (しさん)	property	medical treatment	self	self-confidence
治療 (ちりょう)	medical treatment	self	self-confidence	true state
自己 (じこ)	self	self-confidence	true state	sponsorship 
自信 (じしん)	self-confidence	true state	sponsorship 	news coverage
実態 (じったい)	true state	sponsorship 	news coverage	disposal
主催 (しゅさい)	sponsorship 	news coverage	disposal	income
取材 (しゅざい)	news coverage	disposal	income	victory
処分 (しょぶん)	disposal	income	victory	rising
所得 (しょとく)	income	victory	rising	new face
勝利 (しょうり)	victory	rising	new face	advance 
上昇 (じょうしょう)	rising	new face	advance 	people
新人 (しんじん)	new face	advance 	people	generation
進出 (しんしゅつ)	advance 	people	generation	sanctions
人民 (じんみん)	people	generation	sanctions	good result
世代 (せだい)	generation	sanctions	good result	normalcy
