予想 (よそう)	expectation	appeal	discussion	document
要請 (ようせい)	appeal	discussion	document	will
論議 (ろんぎ)	discussion	document	will	handle
文書 (ぶんしょ)	document	will	handle	alliance
意欲 (いよく)	will	handle	alliance	public opinion
取っ手 (とって)	handle	alliance	public opinion	pressure
同盟 (どうめい)	alliance	public opinion	pressure	transportation
世論 (せろん)	public opinion	pressure	transportation	making use of
圧力 (あつりょく)	pressure	transportation	making use of	production 
運輸 (うんゆ)	transportation	making use of	production 	application
運用 (うんよう)	making use of	production 	application	cancellation
演出 (えんしゅつ)	production 	application	cancellation	qualitative difference
応募 (おうぼ)	application	cancellation	qualitative difference	lively
解除 (かいじょ)	cancellation	qualitative difference	lively	infection
格差 (かくさ)	qualitative difference	lively	infection	fund
活発 (かっぱつ)	lively	infection	fund	stipulation
感染 (かんせん)	infection	fund	stipulation	doubt
基金 (ききん)	fund	stipulation	doubt	relief
規定 (きてい)	stipulation	doubt	relief	refusal
疑惑 (ぎわく)	doubt	relief	refusal	distance
救援 (きゅうえん)	relief	refusal	distance	compulsion
拒否 (きょひ)	refusal	distance	compulsion	achievement
距離 (きょり)	distance	compulsion	achievement	business
強制 (きょうせい)	compulsion	achievement	business	composition
業績 (ぎょうせき)	achievement	business	composition	service
業務 (ぎょうむ)	business	composition	service	expenses
曲 (きょく)	composition	service	expenses	vigilance
勤務 (きんむ)	service	expenses	vigilance	decision
経費 (けいひ)	expenses	vigilance	decision	decision
警戒 (けいかい)	vigilance	decision	decision	formation
決意 (けつい)	decision	decision	formation	power
決断 (けつだん)	decision	formation	power	crude oil
結成 (けっせい)	formation	power	crude oil	decrease
権限 (けんげん)	power	crude oil	decrease	present
原油 (げんゆ)	crude oil	decrease	present	elevation
減少 (げんしょう)	decrease	present	elevation	favourable
現行 (げんこう)	present	elevation	favourable	diplomatic relations
向上 (こうじょう)	elevation	favourable	diplomatic relations	rebuilding
好調 (こうちょう)	favourable	diplomatic relations	rebuilding	calamity
国交 (こっこう)	diplomatic relations	rebuilding	calamity	murder
