発生 (はっせい)	outbreak	reaction	ratio	decomposition
反応 (はんのう)	reaction	ratio	decomposition	arms
比率 (ひりつ)	ratio	decomposition	arms	soldier
腐敗 (ふはい)	decomposition	arms	soldier	return
兵器 (へいき)	arms	soldier	return	assistance
兵士 (へいし)	soldier	return	assistance	compensation
返還 (へんかん)	return	assistance	compensation	form
補助 (ほじょ)	assistance	compensation	form	preference
補償 (ほしょう)	compensation	form	preference	deposit
方式 (ほうしき)	form	preference	deposit	main cause
優先 (ゆうせん)	preference	deposit	main cause	circulation 
預金 (よきん)	deposit	main cause	circulation 	league
要因 (よういん)	main cause	circulation 	league	merger 
流通 (りゅうつう)	circulation 	league	merger 	starting
連盟 (れんめい)	league	merger 	starting	structure
合併 (がっぺい)	merger 	starting	structure	to excel
発足 (ほっそく)	starting	structure	to excel	hope
仕組み (しくみ)	structure	to excel	hope	suffer deterioration
勝る (まさる)	to excel	hope	suffer deterioration	still
見込み (みこみ)	hope	suffer deterioration	still	historic ruins 
悪化 (あっか)	suffer deterioration	still	historic ruins 	chug!
依然 (いぜん)	still	historic ruins 	chug!	all
遺跡 (いせき)	historic ruins 	chug!	all	series
一気 (いっき)	chug!	all	series	yokozuna 
一切 (いっさい)	all	series	yokozuna 	becoming a member
一連 (いちれん)	series	yokozuna 	becoming a member	stroke 
横綱 (よこづな)	yokozuna 	becoming a member	stroke 	intervention
加入 (かにゅう)	becoming a member	stroke 	intervention	collection
画 (かく)	stroke 	intervention	collection	acquisition
介入 (かいにゅう)	intervention	collection	acquisition	establishment
回収 (かいしゅう)	collection	acquisition	establishment	sudden change
獲得 (かくとく)	acquisition	establishment	sudden change	relief
確立 (かくりつ)	establishment	sudden change	relief	cooperation
逆転 (ぎゃくてん)	sudden change	relief	cooperation	public prosecutor
救済 (きゅうさい)	relief	cooperation	public prosecutor	source 
協調 (きょうちょう)	cooperation	public prosecutor	source 	individuality
検事 (けんじ)	public prosecutor	source 	individuality	particular case
源 (みなもと)	source 	individuality	particular case	official recognition
個性 (こせい)	individuality	particular case	official recognition	efficiency
個別 (こべつ)	particular case	official recognition	efficiency	handicraft 
