真っ青 (まっさお)	deep blue	rare	outward appearance 	surname
まれ (稀)	rare	outward appearance 	surname	originally
見かけ (みかけ)	outward appearance 	surname	originally	quiet
名字 (みょうじ)	surname	originally	quiet	youthful
もともと (元々)	originally	quiet	youthful	to hate
悠々 (ゆうゆう)	quiet	youthful	to hate	to deny
若々しい (わかわかしい)	youthful	to hate	to deny	to answer
嫌がる (いやがる)	to hate	to deny	to answer	to feel
打ち消す (うちけす)	to deny	to answer	to feel	salty 
応ずる (おうずる)	to answer	to feel	salty 	unexpected
感ずる (かんずる)	to feel	salty 	unexpected	to be prolonged
塩辛い (しおからい)	salty 	unexpected	to be prolonged	all
思いがけない (おもいがけない)	unexpected	to be prolonged	all	the number of days
長引く (ながびく)	to be prolonged	all	the number of days	foot 
残らず (のこらず)	all	the number of days	foot 	cape 
日日 (ひにち)	the number of days	foot 	cape 	itinerary
ふもと (麓)	foot 	cape 	itinerary	I'm sorry
岬 (みさき)	cape 	itinerary	I'm sorry	underground water
道順 (みちじゅん)	itinerary	I'm sorry	underground water	each 
申し訳ない (もうしわけない)	I'm sorry	underground water	each 	smartly dressed
