バランス	balance	pattern 	underpants	vitamin
パターン	pattern 	underpants	vitamin	vinyl 
パンツ	underpants	vitamin	vinyl 	pistol
ビタミン	vitamin	vinyl 	pistol	pink 
ビニール	vinyl 	pistol	pink 	fastener
ピストル	pistol	pink 	fastener	fry pan
ピンク	pink 	fastener	fry pan	blouse
ファスナー	fastener	fry pan	blouse	plastic
フライパン	fry pan	blouse	plastic	platform
ブラウス	blouse	plastic	platform	print
プラスチック	plastic	platform	print	program
プラットホーム	platform	print	program	helicopter
プリント	print	program	helicopter	person with a lot of experience
プログラム	program	helicopter	person with a lot of experience	bonus
ヘリコプター	helicopter	person with a lot of experience	bonus	poster
ベテラン	person with a lot of experience	bonus	poster	minus
ボーナス	bonus	poster	minus	face mask 
ポスター	poster	minus	face mask 	muffler
マイナス	minus	face mask 	muffler	marathon
マスク	face mask 	muffler	marathon	condominium 
