工員 (こういん)	factory worker	it can't be helped	with all one's strength	moderate
しょうがない (仕様がない)	it can't be helped	with all one's strength	moderate	bar
思いっきり (おもいっきり)	with all one's strength	moderate	bar	money collection
手ごろ (てごろ)	moderate	bar	money collection	cousin 
酒場 (さかば)	bar	money collection	cousin 	woman
集金 (しゅうきん)	money collection	cousin 	woman	table salt
いとこ (従姉妹)	cousin 	woman	table salt	vacuum
女の人 (おんなのひと)	woman	table salt	vacuum	pictorial book
食塩 (しょくえん)	table salt	vacuum	pictorial book	house for rent
真空 (しんくう)	vacuum	pictorial book	house for rent	nausea
図鑑 (ずかん)	pictorial book	house for rent	nausea	to swell
貸家 (かしや)	house for rent	nausea	to swell	consul
吐き気 (はきけ)	nausea	to swell	consul	soon
膨らます (ふくらます)	to swell	consul	soon	screw 
領事 (りょうじ)	consul	soon	screw 	extensive
近々 (ちかぢか)	soon	screw 	extensive	stopper
ねじ (捻子)	screw 	extensive	stopper	which reminds me ...
広々 (ひろびろ)	extensive	stopper	which reminds me ...	relatively
栓 (せん)	stopper	which reminds me ...	relatively	in a row
そういえば (そう言えば)	which reminds me ...	relatively	in a row	diligently
