割と (わりと)	relatively	in a row	diligently	have a good day
ずらり	in a row	diligently	have a good day	equal 
せっせと	diligently	have a good day	equal 	woman
いってらっしゃい (行ってらっしゃい)	have a good day	equal 	woman	apron 
イコール	equal 	woman	apron 	oil
ウーマン	woman	apron 	oil	chewing gum 
エプロン	apron 	oil	chewing gum 	gang 
オイル	oil	chewing gum 	gang 	chorus
ガム	chewing gum 	gang 	chorus	collection 
ギャング	gang 	chorus	collection 	sample
コーラス	chorus	collection 	sample	shop
コレクション	collection 	sample	shop	scarf
サンプル	sample	shop	scarf	stockings
ショップ	shop	scarf	stockings	seminar
スカーフ	scarf	stockings	seminar	diagram
ストッキング	stockings	seminar	diagram	gratuity
ゼミ	seminar	diagram	gratuity	tennis court
ダイアグラム	diagram	gratuity	tennis court	band 
チップ	gratuity	tennis court	band 	building
テニスコート	tennis court	band 	building	free 
