勝負 (しょうぶ)	victory or defeat 	Shinkansen	application	work 
新幹線 (しんかんせん)	Shinkansen	application	work 	sumo wrestling 
申請 (しんせい)	application	work 	sumo wrestling 	addition
制作 (せいさく)	work 	sumo wrestling 	addition	fall
相撲 (すもう)	sumo wrestling 	addition	fall	electric power
追加 (ついか)	addition	fall	electric power	east and west 
低下 (ていか)	fall	electric power	east and west 	specific
電力 (でんりょく)	electric power	east and west 	specific	fiscal year 
東西 (とうざい)	east and west 	specific	fiscal year 	trade
特定 (とくてい)	specific	fiscal year 	trade	to approach
年度 (ねんど)	fiscal year 	trade	to approach	sale
売買 (ばいばい)	trade	to approach	sale	neighbourhood
迫る (せまる)	to approach	sale	neighbourhood	diffusion
発売 (はつばい)	sale	neighbourhood	diffusion	parts
付近 (ふきん)	neighbourhood	diffusion	parts	plural
普及 (ふきゅう)	diffusion	parts	plural	originally
部品 (ぶひん)	parts	plural	originally	friendship
複数 (ふくすう)	plural	originally	friendship	arrival in Japan
本来 (ほんらい)	originally	friendship	arrival in Japan	meeting hall
友好 (ゆうこう)	friendship	arrival in Japan	meeting hall	chance
