将棋 (しょうぎ)	shogi	negative	top and bottom	diagnosis
消極的 (しょうきょくてき)	negative	top and bottom	diagnosis	presumption
上下 (じょうげ)	top and bottom	diagnosis	presumption	publicity
診断 (しんだん)	diagnosis	presumption	publicity	site
推定 (すいてい)	presumption	publicity	site	middle of a month
宣伝 (せんでん)	publicity	site	middle of a month	electromagnetic wave
地点 (ちてん)	site	middle of a month	electromagnetic wave	entry 
中旬 (ちゅうじゅん)	middle of a month	electromagnetic wave	entry 	city centre 
電波 (でんぱ)	electromagnetic wave	entry 	city centre 	appointed day
登場 (とうじょう)	entry 	city centre 	appointed day	transparent
都心 (としん)	city centre 	appointed day	transparent	agricultural chemical 
当日 (とうじつ)	appointed day	transparent	agricultural chemical 	haiku
透明 (とうめい)	transparent	agricultural chemical 	haiku	generation 
農薬 (のうやく)	agricultural chemical 	haiku	generation 	less than
俳句 (はいく)	haiku	generation 	less than	point
発電 (はつでん)	generation 	less than	point	exception
未満 (みまん)	less than	point	exception	frank
要旨 (ようし)	point	exception	frank	attached
例外 (れいがい)	exception	frank	attached	after this
率直 (そっちょく)	frank	attached	after this	making a round trip
