矛盾 (むじゅん)	contradiction	interview 	lumber	actor
面接 (めんせつ)	interview 	lumber	actor	existence or nonexistence
木材 (もくざい)	lumber	actor	existence or nonexistence	fee-charging
役者 (やくしゃ)	actor	existence or nonexistence	fee-charging	young child
有無 (うむ)	existence or nonexistence	fee-charging	young child	kindergarten
有料 (ゆうりょう)	fee-charging	young child	kindergarten	container
幼児 (ようじ)	young child	kindergarten	container	term
幼稚園 (ようちえん)	kindergarten	container	term	hostel
容器 (ようき)	container	term	hostel	to spread
用語 (ようご)	term	hostel	to spread	to bear fruit
寮 (りょう)	hostel	to spread	to bear fruit	error
広げる (ひろげる)	to spread	to bear fruit	error	excess
なる (生る)	to bear fruit	error	excess	science
過失 (かしつ)	error	excess	science	vitality
過剰 (かじょう)	excess	science	vitality	overbearing
学術 (がくじゅつ)	science	vitality	overbearing	cultivation
活力 (かつりょく)	vitality	overbearing	cultivation	inspection
強引 (ごういん)	overbearing	cultivation	inspection	heading
教養 (きょうよう)	cultivation	inspection	heading	to see someone off 
見学 (けんがく)	inspection	heading	to see someone off 	to ask after 
