血圧 (けつあつ)	blood pressure	prefectural office	achievements	affirmation 
県庁 (けんちょう)	prefectural office	achievements	affirmation 	to raise
功績 (こうせき)	achievements	affirmation 	to raise	four seasons
肯定 (こうてい)	affirmation 	to raise	four seasons	paper money
高める (たかめる)	to raise	four seasons	paper money	purple
四季 (しき)	four seasons	paper money	purple	national holiday
紙幣 (しへい)	paper money	purple	national holiday	wife 
紫 (むらさき)	purple	national holiday	wife 	victory or defeat
祝日 (しゅくじつ)	national holiday	wife 	victory or defeat	ascent
女房 (にょうぼう)	wife 	victory or defeat	ascent	advanced level
勝敗 (しょうはい)	victory or defeat	ascent	advanced level	mind and body
上り (のぼり)	ascent	advanced level	mind and body	God
上級 (じょうきゅう)	advanced level	mind and body	God	Wednesday
心身 (しんしん)	mind and body	God	Wednesday	nature
神様 (かみさま)	God	Wednesday	nature	to touch
水曜 (すいよう)	Wednesday	nature	to touch	railway track
性質 (せいしつ)	nature	to touch	railway track	difference
接する (せっする)	to touch	railway track	difference	waterfall 
線路 (せんろ)	railway track	difference	waterfall 	Middle Ages 
相違 (そうい)	difference	waterfall 	Middle Ages 	list price
