英文 (えいぶん)	English writing	liquid	to strike	approval
液体 (えきたい)	liquid	to strike	approval	house
殴る (なぐる)	to strike	approval	house	to change
可決 (かけつ)	approval	house	to change	shellfish 
家屋 (かおく)	house	to change	shellfish 	expansion
改める (あらためる)	to change	shellfish 	expansion	school class
貝 (かい)	shellfish 	expansion	school class	scholarly ability
拡張 (かくちょう)	expansion	school class	scholarly ability	space
学級 (がっきゅう)	school class	scholarly ability	space	utensil
学力 (がくりょく)	scholarly ability	space	utensil	order
間隔 (かんかく)	space	utensil	order	group
器具 (きぐ)	utensil	order	group	go
規律 (きりつ)	order	group	go	official business
群れ (むれ)	group	go	official business	rope 
碁 (ご)	go	official business	rope 	line
公務 (こうむ)	official business	rope 	line	rationality
綱 (つな)	rope 	line	rationality	navy blue
行列 (ぎょうれつ)	line	rationality	navy blue	event
合理 (ごうり)	rationality	navy blue	event	descendant
紺 (こん)	navy blue	event	descendant	practice 
