中途 (ちゅうと)	in the middle	battery	internal medicine	phone extension
電池 (でんち)	battery	internal medicine	phone extension	writer
内科 (ないか)	internal medicine	phone extension	writer	literature
内線 (ないせん)	phone extension	writer	literature	closure 
筆者 (ひっしゃ)	writer	literature	closure 	packing
文献 (ぶんけん)	literature	closure 	packing	famous place 
閉会 (へいかい)	closure 	packing	famous place 	subordinate
包装 (ほうそう)	packing	famous place 	subordinate	river basin
名所 (めいしょ)	famous place 	subordinate	river basin	farm 
目下 (めした)	subordinate	river basin	farm 	coal mine
流域 (りゅういき)	river basin	farm 	coal mine	diameter
牧場 (ぼくじょう)	farm 	coal mine	diameter	perfect score
炭鉱 (たんこう)	coal mine	diameter	perfect score	in a lively way
直径 (ちょっけい)	diameter	perfect score	in a lively way	draw 
満点 (まんてん)	perfect score	in a lively way	draw 	party
生き生き (いきいき)	in a lively way	draw 	party	outdoors
引き分け (ひきわけ)	draw 	party	outdoors	dryness
宴会 (えんかい)	party	outdoors	dryness	deep emotion
屋外 (おくがい)	outdoors	dryness	deep emotion	appreciation 
乾燥 (かんそう)	dryness	deep emotion	appreciation 	indirection
