感激 (かんげき)	deep emotion	appreciation 	indirection	division
鑑賞 (かんしょう)	appreciation 	indirection	division	to look at again 
間接 (かんせつ)	indirection	division	to look at again 	actually
区分 (くぶん)	division	to look at again 	actually	mixing
見直す (みなおす)	to look at again 	actually	mixing	mountain forest
現に (げんに)	actually	mixing	mountain forest	garage
混合 (こんごう)	mixing	mountain forest	garage	gravity
山林 (さんりん)	mountain forest	garage	gravity	attendance 
車庫 (しゃこ)	garage	gravity	attendance 	digestion 
重力 (じゅうりょく)	gravity	attendance 	digestion 	bell 
出勤 (しゅっきん)	attendance 	digestion 	bell 	tableware
消化 (しょうか)	digestion 	bell 	tableware	invasion
鐘 (かね)	bell 	tableware	invasion	ancestor
食器 (しょっき)	tableware	invasion	ancestor	sizes 
侵入 (しんにゅう)	invasion	ancestor	sizes 	storage
先祖 (せんぞ)	ancestor	sizes 	storage	straight line
大小 (だいしょう)	sizes 	storage	straight line	power outage
貯蔵 (ちょぞう)	storage	straight line	power outage	action
直線 (ちょくせん)	straight line	power outage	action	fragment
停電 (ていでん)	power outage	action	fragment	to tie
