缶詰 (かんづめ)	canned food	dangerous	symbol	fisherman
危うい (あやうい)	dangerous	symbol	fisherman	to bring near
記号 (きごう)	symbol	fisherman	to bring near	to call out to
漁師 (りょうし)	fisherman	to bring near	to call out to	to mince
近づける (ちかづける)	to bring near	to call out to	to mince	to mix
呼びかける (よびかける)	to call out to	to mince	to mix	to deify
刻む (きざむ)	to mince	to mix	to deify	sashimi 
混ぜる (まぜる)	to mix	to deify	sashimi 	example
祭る (まつる)	to deify	sashimi 	example	receiving
刺身 (さしみ)	sashimi 	example	receiving	the head
実例 (じつれい)	example	receiving	the head	vinegar
受取り (うけとり)	receiving	the head	vinegar	rough 
真っ先 (まっさき)	the head	vinegar	rough 	place name
酢 (す)	vinegar	rough 	place name	head
大雑把 (おおざっぱ)	rough 	place name	head	soliloquy
地名 (ちめい)	place name	head	soliloquy	to distribute
頭脳 (ずのう)	head	soliloquy	to distribute	cynicism
独り言 (ひとりごと)	soliloquy	to distribute	cynicism	balloon 
配る (くばる)	to distribute	cynicism	balloon 	classification
皮肉 (ひにく)	cynicism	balloon 	classification	soldier
