診る (みる)	to examine 	wire	artificial	pedestrian traffic
針金 (はりがね)	wire	artificial	pedestrian traffic	humanities
人造 (じんぞう)	artificial	pedestrian traffic	humanities	extreme
人通り (ひとどおり)	pedestrian traffic	humanities	extreme	figure
人文科学 (じんぶんかがく)	humanities	extreme	figure	chart
甚だしい (はなはだしい)	extreme	figure	chart	snow storm
図形 (ずけい)	figure	chart	snow storm	vertical 
図表 (ずひょう)	chart	snow storm	vertical 	water vapour
吹雪 (ふぶき)	snow storm	vertical 	water vapour	drop of water 
垂直 (すいちょく)	vertical 	water vapour	drop of water 	canteen
水蒸気 (すいじょうき)	water vapour	drop of water 	canteen	horizontal
水滴 (すいてき)	drop of water 	canteen	horizontal	horizon 
水筒 (すいとう)	canteen	horizontal	horizon 	cooking
水平 (すいへい)	horizontal	horizon 	cooking	drunkard
水平線 (すいへいせん)	horizon 	cooking	drunkard	essays
炊事 (すいじ)	cooking	drunkard	essays	to become clear 
酔っ払い (よっぱらい)	drunkard	essays	to become clear 	measurement
随筆 (ずいひつ)	essays	to become clear 	measurement	square
澄む (すむ)	to become clear 	measurement	square	main gate
寸法 (すんぽう)	measurement	square	main gate	clear
