暴れる (あばれる)	to act violently	to expand	North Pole 	stock-farming
膨らむ (ふくらむ)	to expand	North Pole 	stock-farming	revision
北極 (ほっきょく)	North Pole 	stock-farming	revision	strengthening
牧畜 (ぼくちく)	stock-farming	revision	strengthening	cultural exchange
改正 (かいせい)	revision	strengthening	cultural exchange	structure
強化 (きょうか)	strengthening	cultural exchange	structure	posture
交流 (こうりゅう)	cultural exchange	structure	posture	circumference
構造 (こうぞう)	structure	posture	circumference	political party
姿勢 (しせい)	posture	circumference	political party	order
周辺 (しゅうへん)	circumference	political party	order	measure
政党 (せいとう)	political party	order	measure	grade
体制 (たいせい)	order	measure	grade	adjustment
対策 (たいさく)	measure	grade	adjustment	eldest son 
段階 (だんかい)	grade	adjustment	eldest son 	unity
調整 (ちょうせい)	adjustment	eldest son 	unity	policy
長男 (ちょうなん)	eldest son 	unity	policy	headquarters
統一 (とういつ)	unity	policy	headquarters	private
方針 (ほうしん)	policy	headquarters	private	union
本部 (ほんぶ)	headquarters	private	union	standard
民間 (みんかん)	private	union	standard	extension
