連合 (れんごう)	union	standard	extension	breaking up 
基準 (きじゅん)	standard	extension	breaking up 	reply
延長 (えんちょう)	extension	breaking up 	reply	opening 
解散 (かいさん)	breaking up 	reply	opening 	department of a university 
回答 (かいとう)	reply	opening 	department of a university 	observation
開放 (かいほう)	opening 	department of a university 	observation	foundation
学部 (がくぶ)	department of a university 	observation	foundation	base 
観測 (かんそく)	observation	foundation	base 	public
基礎 (きそ)	foundation	base 	public	formal
基地 (きち)	base 	public	formal	construction work
公共 (こうきょう)	public	formal	construction work	nationality
公式 (こうしき)	formal	construction work	nationality	national
工事 (こうじ)	construction work	nationality	national	materials
国籍 (こくせき)	nationality	national	materials	self-government
国立 (こくりつ)	national	materials	self-government	achievements
資料 (しりょう)	materials	self-government	achievements	real ability
自治 (じち)	self-government	achievements	real ability	taking an examination 
実績 (じっせき)	achievements	real ability	taking an examination 	assumption 
実力 (じつりょく)	real ability	taking an examination 	assumption 	meeting
受験 (じゅけん)	taking an examination 	assumption 	meeting	focus 
