自慢 (じまん)	pride	time	castle	dining table
手間 (てま)	time	castle	dining table	succession
城 (しろ)	castle	dining table	succession	to refuse
食卓 (しょくたく)	dining table	succession	to refuse	commuting to school
相続 (そうぞく)	succession	to refuse	commuting to school	mud
断る (ことわる)	to refuse	commuting to school	mud	to hit 
通学 (つうがく)	commuting to school	mud	to hit 	poison
泥 (どろ)	mud	to hit 	poison	wish
当てる (あてる)	to hit 	poison	wish	friendship
毒 (どく)	poison	wish	friendship	to invite
望み (のぞみ)	wish	friendship	to invite	wing 
友情 (ゆうじょう)	friendship	to invite	wing 	charge
誘う (さそう)	to invite	wing 	charge	to love
翼 (つばさ)	wing 	charge	to love	handshake
係 (かかり)	charge	to love	handshake	sharp 
愛する (あいする)	to love	handshake	sharp 	flame
握手 (あくしゅ)	handshake	sharp 	flame	calculation
鋭い (するどい)	sharp 	flame	calculation	pain
炎 (ほのお)	flame	calculation	pain	company
勘定 (かんじょう)	calculation	pain	company	happiness
