読み (よみ)	reading	date	board	skin
日付 (ひづけ)	date	board	skin	ice 
板 (いた)	board	skin	ice 	unhappiness
皮 (かわ)	skin	ice 	unhappiness	disadvantage
氷 (こおり)	ice 	unhappiness	disadvantage	complaint
不幸 (ふこう)	unhappiness	disadvantage	complaint	parting
不利 (ふり)	disadvantage	complaint	parting	to hold or carry under or in the arms 
文句 (もんく)	complaint	parting	to hold or carry under or in the arms 	adventure
別れ (わかれ)	parting	to hold or carry under or in the arms 	adventure	trouble
抱える (かかえる)	to hold or carry under or in the arms 	adventure	trouble	to drain
冒険 (ぼうけん)	adventure	trouble	to drain	row
面倒 (めんどう)	trouble	to drain	row	sisters
流す (ながす)	to drain	row	sisters	varied
列 (れつ)	row	sisters	varied	facing
姉妹 (しまい)	sisters	varied	facing	good
様々 (さまざま)	varied	facing	good	Mr
向い (むかい)	facing	good	Mr	love
よい (良い)	good	Mr	love	great
氏 (し)	Mr	love	great	fortune
愛情 (あいじょう)	love	great	fortune	wife
