マスター	to master 	Europe	no 	fate
ヨーロッパ (欧羅巴)	Europe	no 	fate	sometime
ノー	no 	fate	sometime	I beg your pardon
縁 (えん)	fate	sometime	I beg your pardon	sandbank
いつか (何時か)	sometime	I beg your pardon	sandbank	straight 
ごめんなさい (御免なさい)	I beg your pardon	sandbank	straight 	one-tenth
州 (す)	sandbank	straight 	one-tenth	face of the earth
直 (なお)	straight 	one-tenth	face of the earth	with a clash
分 (ぶ)	one-tenth	face of the earth	with a clash	un-
率土 (そっと)	face of the earth	with a clash	un-	pole 
ばったり	with a clash	un-	pole 	nothing
不 (ふ)	un-	pole 	nothing	mutual
極 (きょく)	pole 	nothing	mutual	to that extent
無 (む)	nothing	mutual	to that extent	density
お互い (おたがい)	mutual	to that extent	density	translation
あんなに	to that extent	density	translation	yes
密 (みつ)	density	translation	yes	counter for buildings 
訳 (やく)	translation	yes	counter for buildings 	lowness 
はあ	yes	counter for buildings 	lowness 	lower reaches 
軒 (けん)	counter for buildings 	lowness 	lower reaches 	tax
