台 (だい)	stand	convention	president 	organization
大会 (たいかい)	convention	president 	organization	youth
大統領 (だいとうりょう)	president 	organization	youth	prefectural governor
団体 (だんたい)	organization	youth	prefectural governor	area
男子 (だんし)	youth	prefectural governor	area	the earth
知事 (ちじ)	prefectural governor	area	the earth	district
地域 (ちいき)	area	the earth	district	centre
地球 (ちきゅう)	the earth	district	centre	center
地方 (ちほう)	district	centre	center	investigation
中央 (ちゅうおう)	centre	center	investigation	correspondence
中心 (ちゅうしん)	center	investigation	correspondence	degree
調査 (ちょうさ)	investigation	correspondence	degree	town
通信 (つうしん)	correspondence	degree	town	effort
程度 (ていど)	degree	town	effort	plot of land
都市 (とし)	town	effort	plot of land	voting
努力 (どりょく)	effort	plot of land	voting	at that time
土地 (とち)	plot of land	voting	at that time	simultaneous
投票 (とうひょう)	voting	at that time	simultaneous	contents
当時 (とうじ)	at that time	simultaneous	contents	period of a year 
同時 (どうじ)	simultaneous	contents	period of a year 	agriculture
