内容 (ないよう)	contents	period of a year 	agriculture	judgment
年間 (ねんかん)	period of a year 	agriculture	judgment	sales
農業 (のうぎょう)	agriculture	judgment	sales	criticism
判断 (はんだん)	judgment	sales	criticism	stage 
販売 (はんばい)	sales	criticism	stage 	portion
批判 (ひはん)	criticism	stage 	portion	field
舞台 (ぶたい)	stage 	portion	field	peace
部分 (ぶぶん)	portion	field	peace	change
分野 (ぶんや)	field	peace	change	report
平和 (へいわ)	peace	change	report	broadcast
変化 (へんか)	change	report	broadcast	direction
報告 (ほうこく)	report	broadcast	direction	method
放送 (ほうそう)	broadcast	direction	method	call
方向 (ほうこう)	direction	method	call	obvious
方法 (ほうほう)	method	call	obvious	purpose
訪問 (ほうもん)	call	obvious	purpose	mark
明らか (あきらか)	obvious	purpose	mark	part
目的 (もくてき)	purpose	mark	part	export 
目標 (もくひょう)	mark	part	export 	importation
役割 (やくわり)	part	export 	importation	overall victory
