宇宙 (うちゅう)	universe	operation 	business	satellite
運転 (うんてん)	operation 	business	satellite	speech
営業 (えいぎょう)	business	satellite	speech	meeting
衛星 (えいせい)	satellite	speech	meeting	betterment
演説 (えんぜつ)	speech	meeting	betterment	start
会合 (かいごう)	meeting	betterment	start	certainty
改善 (かいぜん)	betterment	start	certainty	feeling
開始 (かいし)	start	certainty	feeling	sightseeing
確実 (かくじつ)	certainty	feeling	sightseeing	hope
感じ (かんじ)	feeling	sightseeing	hope	commemoration
観光 (かんこう)	sightseeing	hope	commemoration	doubt
希望 (きぼう)	hope	commemoration	doubt	argument
記念 (きねん)	commemoration	doubt	argument	game
疑問 (ぎもん)	doubt	argument	game	common
議論 (ぎろん)	argument	game	common	teacher 
競技 (きょうぎ)	game	common	teacher 	chest
共通 (きょうつう)	common	teacher 	chest	prohibition
教師 (きょうし)	teacher 	chest	prohibition	army
胸 (むね)	chest	prohibition	army	tendency
禁止 (きんし)	prohibition	army	tendency	experience
