軍 (ぐん)	army	tendency	experience	fine art
傾向 (けいこう)	tendency	experience	fine art	theatre
経験 (けいけん)	experience	fine art	theatre	after all
芸術 (げいじゅつ)	fine art	theatre	after all	conclusion
劇場 (げきじょう)	theatre	after all	conclusion	health 
結局 (けっきょく)	after all	conclusion	health 	inspection 
結論 (けつろん)	conclusion	health 	inspection 	consideration
健康 (けんこう)	health 	inspection 	consideration	right
検査 (けんさ)	inspection 	consideration	right	opinion
検討 (けんとう)	consideration	right	opinion	present condition
権利 (けんり)	right	opinion	present condition	nowadays
見解 (けんかい)	opinion	present condition	nowadays	exchange
現状 (げんじょう)	present condition	nowadays	exchange	advertisement
現代 (げんだい)	nowadays	exchange	advertisement	aviation
交換 (こうかん)	exchange	advertisement	aviation	lecture
広告 (こうこく)	advertisement	aviation	lecture	national border
航空 (こうくう)	aviation	lecture	national border	disorder
講演 (こうえん)	lecture	national border	disorder	difference
国境 (こっきょう)	national border	disorder	difference	again
混乱 (こんらん)	disorder	difference	again	author
