準備 (じゅんび)	preparation	processing	boy	recognition
処理 (しょり)	processing	boy	recognition	consumption
少年 (しょうねん)	boy	recognition	consumption	obstacle
承認 (しょうにん)	recognition	consumption	obstacle	serious
消費 (しょうひ)	consumption	obstacle	serious	body 
障害 (しょうがい)	obstacle	serious	body 	human life 
深刻 (しんこく)	serious	body 	human life 	person
身 (み)	body 	human life 	person	recommendation
人生 (じんせい)	human life 	person	recommendation	level
人物 (じんぶつ)	person	recommendation	level	numeral
推薦 (すいせん)	recommendation	level	numeral	due form
水準 (すいじゅん)	level	numeral	due form	mind
数字 (すうじ)	numeral	due form	mind	manufacture
正式 (せいしき)	due form	mind	manufacture	manufactured goods
精神 (せいしん)	mind	manufacture	manufactured goods	oil
製造 (せいぞう)	manufacture	manufactured goods	oil	equipment
製品 (せいひん)	manufactured goods	oil	equipment	all members 
石油 (せきゆ)	oil	equipment	all members 	association
設備 (せつび)	equipment	all members 	association	consultation
全員 (ぜんいん)	all members 	association	consultation	equipment
