能力 (のうりょく)	ability	horse 	field 	publication
馬 (うま)	horse 	field 	publication	development
畑 (はたけ)	field 	publication	development	announcement
発行 (はっこう)	publication	development	announcement	they
発展 (はってん)	development	announcement	they	suffering damage
発表 (はっぴょう)	announcement	they	suffering damage	cost
彼ら (かれら)	they	suffering damage	cost	emergency 
被害 (ひがい)	suffering damage	cost	emergency 	expression
費用 (ひよう)	cost	emergency 	expression	facial expression
非常 (ひじょう)	emergency 	expression	facial expression	valuation
表現 (ひょうげん)	expression	facial expression	valuation	anxiety
表情 (ひょうじょう)	facial expression	valuation	anxiety	insufficiency
評価 (ひょうか)	valuation	anxiety	insufficiency	dissatisfaction
不安 (ふあん)	anxiety	insufficiency	dissatisfaction	wife
不足 (ふそく)	insufficiency	dissatisfaction	wife	father
不満 (ふまん)	dissatisfaction	wife	father	weapon
夫人 (ふじん)	wife	father	weapon	width
父親 (ちちおや)	father	weapon	width	mother
武器 (ぶき)	weapon	width	mother	abundant
幅 (はば)	width	mother	abundant	the person himself
