母親 (ははおや)	mother	abundant	the person himself	free 
豊か (ゆたか)	abundant	the person himself	free 	name
本人 (ほんにん)	the person himself	free 	name	clear
無料 (むりょう)	free 	name	clear	friend
名 (な)	name	clear	friend	valid
明確 (めいかく)	clear	friend	valid	state
友人 (ゆうじん)	friend	valid	state	profit
有効 (ゆうこう)	valid	state	profit	understanding
様子 (ようす)	state	profit	understanding	stream
利益 (りえき)	profit	understanding	stream	fee
理解 (りかい)	understanding	stream	fee	the aged
流れ (ながれ)	stream	fee	the aged	topic
料金 (りょうきん)	fee	the aged	topic	number
老人 (ろうじん)	the aged	topic	number	married couple
話題 (わだい)	topic	number	married couple	custom
数 (かず)	number	married couple	custom	age
夫婦 (ふうふ)	married couple	custom	age	we
例 (れい)	custom	age	we	ago
年齢 (ねんれい)	age	we	ago	intention
我々 (われわれ)	we	ago	intention	much more
