単位 (たんい)	unit	birth	earth	social position
誕生 (たんじょう)	birth	earth	social position	basement
地 (ち)	earth	social position	basement	middle school
地位 (ちい)	social position	basement	middle school	suspension
地下 (ちか)	basement	middle school	suspension	notice
中学 (ちゅうがく)	middle school	suspension	notice	author 
中止 (ちゅうし)	suspension	notice	author 	fixed period
注目 (ちゅうもく)	notice	author 	fixed period	resistance
著者 (ちょしゃ)	author 	fixed period	resistance	presentation 
定期 (ていき)	fixed period	resistance	presentation 	thoroughness
抵抗 (ていこう)	resistance	presentation 	thoroughness	railroad
提出 (ていしゅつ)	presentation 	thoroughness	railroad	capital
徹底 (てってい)	thoroughness	railroad	capital	everyday
鉄道 (てつどう)	railroad	capital	everyday	farmer
都 (みやこ)	capital	everyday	farmer	actor
日常 (にちじょう)	everyday	farmer	actor	crime
農家 (のうか)	farmer	actor	crime	extent
俳優 (はいゆう)	actor	crime	extent	delicate
犯罪 (はんざい)	crime	extent	delicate	prices of commodities
範囲 (はんい)	extent	delicate	prices of commodities	tale
