微妙 (びみょう)	delicate	prices of commodities	tale	material
物価 (ぶっか)	prices of commodities	tale	material	analysis
物語 (ものがたり)	tale	material	analysis	mood
物質 (ぶっしつ)	material	analysis	mood	letter 
分析 (ぶんせき)	analysis	mood	letter 	change
雰囲気 (ふんいき)	mood	letter 	change	charm
文字 (もじ)	letter 	change	charm	pattern
変更 (へんこう)	change	charm	pattern	only
魅力 (みりょく)	charm	pattern	only	surplus
模様 (もよう)	pattern	only	surplus	travel
唯一 (ゆいいつ)	only	surplus	travel	bay
余裕 (よゆう)	surplus	travel	bay	pipe
旅 (たび)	travel	bay	pipe	valley
湾 (わん)	bay	pipe	valley	pain
管 (かん)	pipe	valley	pain	payment
谷 (たに)	valley	pain	payment	battle
痛み (いたみ)	pain	payment	battle	guarantee
支払い (しはらい)	payment	battle	guarantee	musical performance
戦い (たたかい)	battle	guarantee	musical performance	unexpected
保証 (ほしょう)	guarantee	musical performance	unexpected	movement
