生物 (せいぶつ)	living thing	absolutely	operation	sun
絶対 (ぜったい)	absolutely	operation	sun	stay
操作 (そうさ)	operation	sun	stay	great war
太陽 (たいよう)	sun	stay	great war	simple
滞在 (たいざい)	stay	great war	simple	knowledge
大戦 (たいせん)	great war	simple	knowledge	order
単純 (たんじゅん)	simple	knowledge	order	putting money aside
知識 (ちしき)	knowledge	order	putting money aside	bottom
注文 (ちゅうもん)	order	putting money aside	bottom	pertinent
貯金 (ちょきん)	putting money aside	bottom	pertinent	applying 
底 (そこ)	bottom	pertinent	applying 	iron 
適切 (てきせつ)	pertinent	applying 	iron 	electron 
適用 (てきよう)	applying 	iron 	electron 	earth
鉄 (てつ)	iron 	electron 	earth	Saturday
電子 (でんし)	electron 	earth	Saturday	identical
土 (つち)	earth	Saturday	identical	peculiarity
土曜 (どよう)	Saturday	identical	peculiarity	daytime
同一 (どういつ)	identical	peculiarity	daytime	entrance
独特 (どくとく)	peculiarity	daytime	entrance	farmer
日中 (にっちゅう)	daytime	entrance	farmer	wave
