休暇 (きゅうか)	holiday	sudden	robber	model
急激 (きゅうげき)	sudden	robber	model	splendid
強盗 (ごうとう)	robber	model	splendid	origin
型 (かた)	model	splendid	origin	to restrict
見事 (みごと)	splendid	origin	to restrict	breathing
元 (もと)	origin	to restrict	breathing	success
限る (かぎる)	to restrict	breathing	success	root 
呼吸 (こきゅう)	breathing	success	root 	crime
合格 (ごうかく)	success	root 	crime	to 
根 (ね)	root 	crime	to 	play
罪 (つみ)	crime	to 	play	debt
示す (しめす)	to 	play	debt	variety
芝居 (しばい)	play	debt	variety	departure
借金 (しゃっきん)	debt	variety	departure	document
種類 (しゅるい)	variety	departure	document	gradually
出発 (しゅっぱつ)	departure	document	gradually	invitation
書類 (しょるい)	document	gradually	invitation	common sense
徐々 (じょじょ)	gradually	invitation	common sense	food 
招待 (しょうたい)	invitation	common sense	food 	refereeing
常識 (じょうしき)	common sense	food 	refereeing	careful
