奪う (うばう)	to snatch away	tune	at once	to chase
調子 (ちょうし)	tune	at once	to chase	philosophy
直ちに (ただちに)	at once	to chase	philosophy	triumph
追う (おう)	to chase	philosophy	triumph	reading
哲学 (てつがく)	philosophy	triumph	reading	Sunday
得意 (とくい)	triumph	reading	Sunday	zealous
読書 (どくしょ)	reading	Sunday	zealous	talent
日曜 (にちよう)	Sunday	zealous	talent	offender
熱心 (ねっしん)	zealous	talent	offender	denial
能 (のう)	talent	offender	denial	comparison
犯人 (はんにん)	offender	denial	comparison	not always
否定 (ひてい)	denial	comparison	not always	fame
比較 (ひかく)	comparison	not always	fame	defeat
必ずしも (かならずしも)	not always	fame	defeat	abdomen
評判 (ひょうばん)	fame	defeat	abdomen	to divide 
負け (まけ)	defeat	abdomen	to divide 	civilization
腹 (はら)	abdomen	to divide 	civilization	preservation
分ける (わける)	to divide 	civilization	preservation	treasure
文明 (ぶんめい)	civilization	preservation	treasure	abundance
保存 (ほぞん)	preservation	treasure	abundance	pole
