先日 (せんじつ)	the other day	spring	advance	set 
泉 (いずみ)	spring	advance	set 	noise
前進 (ぜんしん)	advance	set 	noise	very
組 (くみ)	set 	noise	very	mere
騒音 (そうおん)	noise	very	mere	simply
大いに (おおいに)	very	mere	simply	wisdom
単なる (たんなる)	mere	simply	wisdom	tea 
単に (たんに)	simply	wisdom	tea 	passing through 
知恵 (ちえ)	wisdom	tea 	passing through 	mountain climbing
茶 (ちゃ)	tea 	passing through 	mountain climbing	city 
通過 (つうか)	passing through 	mountain climbing	city 	work
登山 (とざん)	mountain climbing	city 	work	coworker
都会 (とかい)	city 	work	coworker	tropics
働き (はたらき)	work	coworker	tropics	clapping hands
同僚 (どうりょう)	coworker	tropics	clapping hands	skin 
熱帯 (ねったい)	tropics	clapping hands	skin 	cooked rice 
拍手 (はくしゅ)	clapping hands	skin 	cooked rice 	tragedy
肌 (はだ)	skin 	cooked rice 	tragedy	association
飯 (めし)	cooked rice 	tragedy	association	cloth 
悲劇 (ひげき)	tragedy	association	cloth 	gravesite
