付き合い (つきあい)	association	cloth 	gravesite	sunset
布 (ぬの)	cloth 	gravesite	sunset	genuine article
墓 (はか)	gravesite	sunset	genuine article	trouble
暮れ (くれ)	sunset	genuine article	trouble	divorce
本物 (ほんもの)	genuine article	trouble	divorce	romantic love
迷惑 (めいわく)	trouble	divorce	romantic love	whole life
離婚 (りこん)	divorce	romantic love	whole life	fashion
恋 (こい)	romantic love	whole life	fashion	memories
一生 (いっしょう)	whole life	fashion	memories	aroma
流行 (りゅうこう)	fashion	memories	aroma	desert
思い出 (おもいで)	memories	aroma	desert	festival
香り (かおり)	aroma	desert	festival	class 
砂漠 (さばく)	desert	festival	class 	embodiment
祭 (まつり)	festival	class 	embodiment	job
級 (きゅう)	class 	embodiment	job	guidance
現れ (あらわれ)	embodiment	job	guidance	to surround
職 (しょく)	job	guidance	to surround	stomach 
案内 (あんない)	guidance	to surround	stomach 	mark
囲む (かこむ)	to surround	stomach 	mark	smoke
胃 (い)	stomach 	mark	smoke	inner part
