弁当 (べんとう)	bento	moat	strange	question
堀 (ほり)	moat	strange	question	courage
妙 (みょう)	strange	question	courage	forecast
問い (とい)	question	courage	forecast	lover
勇気 (ゆうき)	courage	forecast	lover	single word
予報 (よほう)	forecast	lover	single word	they 
恋人 (こいびと)	lover	single word	they 	any
一言 (ひとこと)	single word	they 	any	origin
方々 (かたがた)	they 	any	origin	rice plant
なんでも (何でも)	any	origin	rice plant	prince 
始まり (はじまり)	origin	rice plant	prince 	down-train 
稲 (いね)	rice plant	prince 	down-train 	furniture
王子 (おうじ)	prince 	down-train 	furniture	lesson 
下り (くだり)	down-train 	furniture	lesson 	sprout
家具 (かぐ)	furniture	lesson 	sprout	thanks
課 (か)	lesson 	sprout	thanks	observation
芽 (め)	sprout	thanks	observation	rock
感謝 (かんしゃ)	thanks	observation	rock	climate
観察 (かんさつ)	observation	rock	climate	sensation
岩 (いわ)	rock	climate	sensation	oni
