読み (よみ)	reading	date	board	skin
日付 (ひづけ)	date	board	skin	ice 
板 (いた)	board	skin	ice 	unhappiness
皮 (かわ)	skin	ice 	unhappiness	disadvantage
氷 (こおり)	ice 	unhappiness	disadvantage	complaint
不幸 (ふこう)	unhappiness	disadvantage	complaint	parting
不利 (ふり)	disadvantage	complaint	parting	to hold or carry under or in the arms 
文句 (もんく)	complaint	parting	to hold or carry under or in the arms 	adventure
別れ (わかれ)	parting	to hold or carry under or in the arms 	adventure	trouble
抱える (かかえる)	to hold or carry under or in the arms 	adventure	trouble	to drain
冒険 (ぼうけん)	adventure	trouble	to drain	row
面倒 (めんどう)	trouble	to drain	row	sisters
流す (ながす)	to drain	row	sisters	varied
列 (れつ)	row	sisters	varied	facing
姉妹 (しまい)	sisters	varied	facing	good
様々 (さまざま)	varied	facing	good	Mr
向い (むかい)	facing	good	Mr	love
よい (良い)	good	Mr	love	great
氏 (し)	Mr	love	great	fortune
愛情 (あいじょう)	love	great	fortune	wife
偉大 (いだい)	great	fortune	wife	confectionery
運 (うん)	fortune	wife	confectionery	counter for occurrences 
嫁 (よめ)	wife	confectionery	counter for occurrences 	to feel
菓子 (かし)	confectionery	counter for occurrences 	to feel	strange
回 (かい)	counter for occurrences 	to feel	strange	relief
感じる (かんじる)	to feel	strange	relief	bureau
奇妙 (きみょう)	strange	relief	bureau	safe
救助 (きゅうじょ)	relief	bureau	safe	to repeat
局 (きょく)	bureau	safe	to repeat	to talk about
金庫 (きんこ)	safe	to repeat	to talk about	instant
繰り返す (くりかえす)	to repeat	to talk about	instant	to protect
語る (かたる)	to talk about	instant	to protect	congestion 
時刻 (じこく)	instant	to protect	congestion 	hut
守る (まもる)	to protect	congestion 	hut	religious faith
渋滞 (じゅうたい)	congestion 	hut	religious faith	books
小屋 (こや)	hut	religious faith	books	peak 
信仰 (しんこう)	religious faith	books	peak 	coal
図書 (としょ)	books	peak 	coal	extinction
盛り (さかり)	peak 	coal	extinction	fishing
石炭 (せきたん)	coal	extinction	fishing	type
絶滅 (ぜつめつ)	extinction	fishing	type	consent
釣り (つり)	fishing	type	consent	bankruptcy
典型 (てんけい)	type	consent	bankruptcy	height
納得 (なっとく)	consent	bankruptcy	height	criticism
破産 (はさん)	bankruptcy	height	criticism	leather
背 (せい)	height	criticism	leather	writing brush
批評 (ひひょう)	criticism	leather	writing brush	garments
革 (かわ)	leather	writing brush	garments	physics
筆 (ふで)	writing brush	garments	physics	friend
服装 (ふくそう)	garments	physics	friend	safety
物理 (ぶつり)	physics	friend	safety	to be silent
味方 (みかた)	friend	safety	to be silent	nakedness
無事 (ぶじ)	safety	to be silent	nakedness	light
黙る (だまる)	to be silent	nakedness	light	school subject
裸 (はだか)	nakedness	light	school subject	happiness
灯 (ひ)	light	school subject	happiness	gathering
科目 (かもく)	school subject	happiness	gathering	sequel
幸せ (しあわせ)	happiness	gathering	sequel	devil
集まり (あつまり)	gathering	sequel	devil	eternity
続き (つづき)	sequel	devil	eternity	crossing
悪魔 (あくま)	devil	eternity	crossing	calm
永遠 (えいえん)	eternity	crossing	calm	pleasant
横断 (おうだん)	crossing	calm	pleasant	going out
穏やか (おだやか)	calm	pleasant	going out	scholarship
快適 (かいてき)	pleasant	going out	scholarship	admiration
外出 (がいしゅつ)	going out	scholarship	admiration	returning home
学問 (がくもん)	scholarship	admiration	returning home	engineer
感心 (かんしん)	admiration	returning home	engineer	reverse
帰宅 (きたく)	returning home	engineer	reverse	absorption
技師 (ぎし)	engineer	reverse	absorption	distinction
逆 (ぎゃく)	reverse	absorption	distinction	to shoot 
吸収 (きゅうしゅう)	absorption	distinction	to shoot 	absence
区別 (くべつ)	distinction	to shoot 	absence	Monday
撃つ (うつ)	to shoot 	absence	Monday	the latter
欠席 (けっせき)	absence	Monday	the latter	study of language
月曜 (げつよう)	Monday	the latter	study of language	fairness
後者 (こうしゃ)	the latter	study of language	fairness	plate
語学 (ごがく)	study of language	fairness	plate	pride
公平 (こうへい)	fairness	plate	pride	time
皿 (さら)	plate	pride	time	castle
自慢 (じまん)	pride	time	castle	dining table
手間 (てま)	time	castle	dining table	succession
城 (しろ)	castle	dining table	succession	to refuse
食卓 (しょくたく)	dining table	succession	to refuse	commuting to school
相続 (そうぞく)	succession	to refuse	commuting to school	mud
断る (ことわる)	to refuse	commuting to school	mud	to hit 
通学 (つうがく)	commuting to school	mud	to hit 	poison
泥 (どろ)	mud	to hit 	poison	wish
当てる (あてる)	to hit 	poison	wish	friendship
毒 (どく)	poison	wish	friendship	to invite
望み (のぞみ)	wish	friendship	to invite	wing 
友情 (ゆうじょう)	friendship	to invite	wing 	charge
誘う (さそう)	to invite	wing 	charge	to love
翼 (つばさ)	wing 	charge	to love	handshake
係 (かかり)	charge	to love	handshake	sharp 
愛する (あいする)	to love	handshake	sharp 	flame
握手 (あくしゅ)	handshake	sharp 	flame	calculation
鋭い (するどい)	sharp 	flame	calculation	pain
炎 (ほのお)	flame	calculation	pain	company
勘定 (かんじょう)	calculation	pain	company	happiness
苦痛 (くつう)	pain	company	happiness	high price
交際 (こうさい)	company	happiness	high price	grain
幸福 (こうふく)	happiness	high price	grain	engagement
高価 (こうか)	high price	grain	engagement	congestion
穀物 (こくもつ)	grain	engagement	congestion	disappointment
婚約 (こんやく)	engagement	congestion	disappointment	turn 
混雑 (こんざつ)	congestion	disappointment	turn 	knowledge
失望 (しつぼう)	disappointment	turn 	knowledge	food
順番 (じゅんばん)	turn 	knowledge	food	tongue 
承知 (しょうち)	knowledge	food	tongue 	used
食物 (しょくもつ)	food	tongue 	used	staying up all night
舌 (した)	tongue 	used	staying up all night	present
中古 (ちゅうこ)	used	staying up all night	present	headache
徹夜 (てつや)	staying up all night	present	headache	saucepan
土産 (みやげ)	present	headache	saucepan	sunlight
頭痛 (ずつう)	headache	saucepan	sunlight	delivery
鍋 (なべ)	saucepan	sunlight	delivery	development
日光 (にっこう)	sunlight	delivery	development	beautiful woman
配達 (はいたつ)	delivery	development	beautiful woman	flight 
発達 (はったつ)	development	beautiful woman	flight 	gem
美人 (びじん)	beautiful woman	flight 	gem	fog
便 (びん)	flight 	gem	fog	Thursday
宝石 (ほうせき)	gem	fog	Thursday	to discuss
霧 (きり)	fog	Thursday	to discuss	eternity
木曜 (もくよう)	Thursday	to discuss	eternity	lightning
話し合う (はなしあう)	to discuss	eternity	lightning	to cover
永久 (えいきゅう)	eternity	lightning	to cover	to cross over
雷 (かみなり)	lightning	to cover	to cross over	to place on 
覆う (おおう)	to cover	to cross over	to place on 	visiting ill or distressed people
越える (こえる)	to cross over	to place on 	visiting ill or distressed people	to hide
乗せる (のせる)	to place on 	visiting ill or distressed people	to hide	energy
見舞い (みまい)	visiting ill or distressed people	to hide	energy	perception
隠す (かくす)	to hide	energy	perception	living room 
活気 (かっき)	energy	perception	living room 	to shout
勘 (かん)	perception	living room 	to shout	section 
居間 (いま)	living room 	to shout	section 	respect
叫ぶ (さけぶ)	to shout	section 	respect	fault
句 (く)	section 	respect	fault	consideration
敬意 (けいい)	respect	fault	consideration	conquest 
欠点 (けってん)	fault	consideration	conquest 	bone fracture
考慮 (こうりょ)	consideration	conquest 	bone fracture	helper
克服 (こくふく)	conquest 	bone fracture	helper	to receive
骨折 (こっせつ)	bone fracture	helper	to receive	week
手伝い (てつだい)	helper	to receive	week	scholarship
受け取る (うけとる)	to receive	week	scholarship	wheat
週間 (しゅうかん)	week	scholarship	wheat	clean
奨学金 (しょうがくきん)	scholarship	wheat	clean	cloth
小麦 (こむぎ)	wheat	clean	cloth	economising
清潔 (せいけつ)	clean	cloth	economising	annotation
生地 (きじ)	cloth	economising	annotation	parking 
節約 (せつやく)	economising	annotation	parking 	flute
注 (ちゅう)	annotation	parking 	flute	single-edged sword
駐車 (ちゅうしゃ)	parking 	flute	single-edged sword	to jump out
笛 (ふえ)	flute	single-edged sword	to jump out	footpath
刀 (かたな)	single-edged sword	to jump out	footpath	direction
飛び出す (とびだす)	to jump out	footpath	direction	to desire 
歩道 (ほどう)	footpath	direction	to desire 	in short
方 (ほう)	direction	to desire 	in short	storm
望む (のぞむ)	to desire 	in short	storm	the way there
要するに (ようするに)	in short	storm	the way there	to deal with 
嵐 (あらし)	storm	the way there	to deal with 	to change
行き (ゆき)	the way there	to deal with 	to change	clothes
扱う (あつかう)	to deal with 	to change	clothes	comfort
移す (うつす)	to change	clothes	comfort	notice
衣服 (いふく)	clothes	comfort	notice	meeting
楽 (らく)	comfort	notice	meeting	appetite 
掲示 (けいじ)	notice	meeting	appetite 	bright red
迎え (むかえ)	meeting	appetite 	bright red	medical examination
食欲 (しょくよく)	appetite 	bright red	medical examination	living thing
真っ赤 (まっか)	bright red	medical examination	living thing	the former
診察 (しんさつ)	medical examination	living thing	the former	twins
生き物 (いきもの)	living thing	the former	twins	top
前者 (ぜんしゃ)	the former	twins	top	legume 
双子 (ふたご)	twins	top	legume 	wonderful
頂上 (ちょうじょう)	top	legume 	wonderful	things
豆 (まめ)	legume 	wonderful	things	flour
不思議 (ふしぎ)	wonderful	things	flour	wall 
物事 (ものごと)	things	flour	wall 	news
粉 (こな)	flour	wall 	news	bubble
塀 (へい)	wall 	news	bubble	cotton plant 
便り (たより)	news	bubble	cotton plant 	blanket
泡 (あわ)	bubble	cotton plant 	blanket	middle of the night
わた (綿)	cotton plant 	blanket	middle of the night	merchant
毛布 (もうふ)	blanket	middle of the night	merchant	rainy season 
夜中 (よなか)	middle of the night	merchant	rainy season 	light
商人 (しょうにん)	merchant	rainy season 	light	space
梅雨 (つゆ)	rainy season 	light	space	learning
明かり (あかり)	light	space	learning	will
空き (あき)	space	learning	will	to cross over 
学 (がく)	learning	will	to cross over 	monkey 
意志 (いし)	will	to cross over 	monkey 	patience
越す (こす)	to cross over 	monkey 	patience	to remove
さる (猿)	monkey 	patience	to remove	to doubt
我慢 (がまん)	patience	to remove	to doubt	service
外す (はずす)	to remove	to doubt	service	coincidence
疑う (うたがう)	to doubt	service	coincidence	to represent
勤め (つとめ)	service	coincidence	to represent	to mind
偶然 (ぐうぜん)	coincidence	to represent	to mind	lawn
