行う (おこなう)	to perform	feeling	within	medical science
気持ち (きもち)	feeling	within	medical science	science
以内 (いない)	within	medical science	science	fire
医学 (いがく)	medical science	science	fire	section manager
科学 (かがく)	science	fire	section manager	assembly hall
火 (ひ)	fire	section manager	assembly hall	simple
課長 (かちょう)	section manager	assembly hall	simple	danger
会場 (かいじょう)	assembly hall	simple	danger	chance
簡単 (かんたん)	simple	danger	chance	competition
危険 (きけん)	danger	chance	competition	traffic
機会 (きかい)	chance	competition	traffic	manufacturing industry
競争 (きょうそう)	competition	traffic	manufacturing industry	this time
交通 (こうつう)	traffic	manufacturing industry	this time	examination
工業 (こうぎょう)	manufacturing industry	this time	examination	temple 
今度 (こんど)	this time	examination	temple 	forest 
試験 (しけん)	examination	temple 	forest 	parent
寺 (てら)	temple 	forest 	parent	olden days
森 (もり)	forest 	parent	olden days	explanation
親 (おや)	parent	olden days	explanation	earthquake
昔 (むかし)	olden days	explanation	earthquake	island 
