こう (斯う)	in this way	America 	to be attached	hospital nurse
アメリカ (亜米利加)	America 	to be attached	hospital nurse	Africa
付く (つく)	to be attached	hospital nurse	Africa	so much
看護師 (かんごし)	hospital nurse	Africa	so much	like that 
アフリカ (阿弗利加)	Africa	so much	like that 	to see
そんなに	so much	like that 	to see	ah
ああ	like that 	to see	ah	Asia
ご覧になる (ごらんになる)	to see	ah	Asia	sandal
あっ	ah	Asia	sandal	suitcase
あじあ (亜細亜)	Asia	sandal	suitcase	screen
サンダル	sandal	suitcase	screen	steak
スーツケース	suitcase	screen	steak	check
スクリーン	screen	steak	check	cash register 
ステーキ	steak	check	cash register 	to begin to rain
チェック	check	cash register 	to begin to rain	to be 
レジ	cash register 	to begin to rain	to be 	grace 
降り出す (ふりだす)	to begin to rain	to be 	grace 	calling on someone who is ill
おいでになる (お出でになる)	to be 	grace 	calling on someone who is ill	festival
おかげ (お蔭)	grace 	calling on someone who is ill	festival	metropolitan
お見舞い (おみまい)	calling on someone who is ill	festival	metropolitan	way of swimming
お祭り (おまつり)	festival	metropolitan	way of swimming	soon
都 (と)	metropolitan	way of swimming	soon	rich person
泳ぎ方 (およぎかた)	way of swimming	soon	rich person	safety
もうすぐ (もう直ぐ)	soon	rich person	safety	opinion
お金持ち (おかねもち)	rich person	safety	opinion	meeting
安全 (あんぜん)	safety	opinion	meeting	relation
意見 (いけん)	opinion	meeting	relation	spirit
会議 (かいぎ)	meeting	relation	spirit	technology
関係 (かんけい)	relation	spirit	technology	guest
気 (き)	spirit	technology	guest	education
技術 (ぎじゅつ)	technology	guest	education	airport
客 (きゃく)	guest	education	airport	form
教育 (きょういく)	education	airport	form	economics
空港 (くうこう)	airport	form	economics	police 
形 (かたち)	form	economics	police 	study
経済 (けいざい)	economics	police 	study	cause
警察 (けいさつ)	police 	study	cause	light 
研究 (けんきゅう)	study	cause	light 	senior high school
原因 (げんいん)	cause	light 	senior high school	international 
光 (ひかり)	light 	senior high school	international 	recently
高校 (こうこう)	senior high school	international 	recently	end
国際 (こくさい)	international 	recently	end	beginning
最近 (さいきん)	recently	end	beginning	wife 
最後 (さいご)	end	beginning	wife 	industry 
最初 (さいしょ)	beginning	wife 	industry 	child 
妻 (つま)	wife 	industry 	child 	citizen
産業 (さんぎょう)	industry 	child 	citizen	match
子 (こ)	child 	citizen	match	accident
市民 (しみん)	citizen	match	accident	office
試合 (しあい)	match	accident	office	period
事故 (じこ)	accident	office	period	freedom
事務所 (じむしょ)	office	period	freedom	society
時代 (じだい)	period	freedom	society	company president
自由 (じゆう)	freedom	society	company president	enough
社会 (しゃかい)	society	company president	enough	woman
社長 (しゃちょう)	company president	enough	woman	future 
十分 (じゅうぶん)	enough	woman	future 	place
女性 (じょせい)	woman	future 	place	population 
将来 (しょうらい)	future 	place	population 	the world
場所 (ばしょ)	place	population 	the world	politics
人口 (じんこう)	population 	the world	politics	living
世界 (せかい)	the world	politics	living	production
政治 (せいじ)	politics	living	production	war
生活 (せいかつ)	living	production	war	man
生産 (せいさん)	production	war	man	particularly
戦争 (せんそう)	war	man	particularly	special
男性 (だんせい)	man	particularly	special	opposition
特に (とくに)	particularly	special	opposition	program 
特別 (とくべつ)	special	opposition	program 	necessary
反対 (はんたい)	opposition	program 	necessary	husband
番組 (ばんぐみ)	program 	necessary	husband	head 
必要 (ひつよう)	necessary	husband	head 	culture
夫 (おっと)	husband	head 	culture	trade 
