まだ (未だ)	as yet	to lose 	to sing 	Thursday
なくす (無くす)	to lose 	to sing 	Thursday	postcard 
鳴く (なく)	to sing 	Thursday	postcard 	sixth day of the month 
木曜日 (もくようび)	Thursday	postcard 	sixth day of the month 	to be 
はがき (葉書)	postcard 	sixth day of the month 	to be 	to go
六日 (むいか)	sixth day of the month 	to be 	to go	the seventh day of the month 
いる (居る)	to be 	to go	the seventh day of the month 	straight 
行く (いく)	to go	the seventh day of the month 	straight 	man
七日 (なのか)	the seventh day of the month 	straight 	man	store
まっすぐ (真っ直ぐ)	straight 	man	store	head 
人 (ひと)	man	store	head 	this 
店 (みせ)	store	head 	this 	eight
頭 (あたま)	head 	this 	eight	10000
この (此の)	this 	eight	10000	day after tomorrow
八つ (やっつ)	eight	10000	day after tomorrow	six
万 (まん)	10000	day after tomorrow	six	20 years old 
明後日 (あさって)	day after tomorrow	six	20 years old 	twentieth day of the month 
六つ (むっつ)	six	20 years old 	twentieth day of the month 	nicely
二十歳 (はたち)	20 years old 	twentieth day of the month 	nicely	to put on 
二十日 (はつか)	twentieth day of the month 	nicely	to put on 	to turn on
