静か (しずか)	quiet	last week	big	underground train
先週 (せんしゅう)	last week	big	underground train	map
大きな (おおきな)	big	underground train	map	pond
地下鉄 (ちかてつ)	underground train	map	pond	flesh 
地図 (ちず)	map	pond	flesh 	aeroplane
池 (いけ)	pond	flesh 	aeroplane	writing
肉 (にく)	flesh 	aeroplane	writing	every week
飛行機 (ひこうき)	aeroplane	writing	every week	eggs
文章 (ぶんしょう)	writing	every week	eggs	overseas student
毎週 (まいしゅう)	every week	eggs	overseas student	entrance
卵 (たまご)	eggs	overseas student	entrance	every month
留学生 (りゅうがくせい)	overseas student	entrance	every month	tomorrow 
入口 (いりぐち)	entrance	every month	tomorrow 	tea 
毎月 (まいげつ)	every month	tomorrow 	tea 	medical doctor
明日 (みょうにち)	tomorrow 	tea 	medical doctor	all
お茶 (おちゃ)	tea 	medical doctor	all	corner 
医者 (いしゃ)	medical doctor	all	corner 	to work 
皆さん (みなさん)	all	corner 	to work 	shoes
角 (かど)	corner 	to work 	shoes	lively
勤める (つとめる)	to work 	shoes	lively	back
