砂糖 (さとう)	sugar	to hold 	the vertical	exit
持つ (もつ)	to hold 	the vertical	exit	food
縦 (たて)	the vertical	exit	food	dining room
出口 (でぐち)	exit	food	dining room	new
食べ物 (たべもの)	food	dining room	new	stamp 
食堂 (しょくどう)	dining room	new	stamp 	loveable
新しい (あたらしい)	new	stamp 	loveable	to sell
切手 (きって)	stamp 	loveable	to sell	nose
大好き (だいすき)	loveable	to sell	nose	to request
売る (うる)	to sell	nose	to request	refrigerator
鼻 (はな)	nose	to request	refrigerator	movie theatre
頼む (たのむ)	to request	refrigerator	movie theatre	fruit
冷蔵庫 (れいぞうこ)	refrigerator	movie theatre	fruit	luggage
映画館 (えいがかん)	movie theatre	fruit	luggage	five
果物 (くだもの)	fruit	luggage	five	writing 
荷物 (にもつ)	luggage	five	writing 	washing
五つ (いつつ)	five	writing 	washing	cleaning
作文 (さくぶん)	writing 	washing	cleaning	morning
洗濯 (せんたく)	washing	cleaning	morning	hat
掃除 (そうじ)	cleaning	morning	hat	light
