見せる (みせる)	to show	key 	old	cooked rice 
鍵 (かぎ)	key 	old	cooked rice 	police box
古い (ふるい)	old	cooked rice 	police box	thick
ご飯 (ごはん)	cooked rice 	police box	thick	opposite side
交番 (こうばん)	police box	thick	opposite side	to fall 
厚い (あつい)	thick	opposite side	to fall 	black 
向こう (むこう)	opposite side	to fall 	black 	tonight
降る (ふる)	to fall 	black 	tonight	to be troubled
黒い (くろい)	black 	tonight	to be troubled	to shine 
今晩 (こんばん)	tonight	to be troubled	to shine 	to sit
困る (こまる)	to be troubled	to shine 	to sit	year after next
差す (さす)	to shine 	to sit	year after next	thin
座る (すわる)	to sit	year after next	thin	to take 
再来年 (さらいねん)	year after next	thin	to take 	to begin
細い (ほそい)	thin	to take 	to begin	to die
撮る (とる)	to take 	to begin	to die	young
始まる (はじまる)	to begin	to die	young	weak
死ぬ (しぬ)	to die	young	weak	to take lessons in
若い (わかい)	young	weak	to take lessons in	to live 
弱い (よわい)	weak	to take lessons in	to live 	heavy
習う (ならう)	to take lessons in	to live 	heavy	to be able 
住む (すむ)	to live 	heavy	to be able 	beginning
重い (おもい)	heavy	to be able 	beginning	hot
できる (出来る)	to be able 	beginning	hot	small
始め (はじめ)	beginning	hot	small	few
暑い (あつい)	hot	small	few	to go out
小さい (ちいさい)	small	few	to go out	to erase
少ない (すくない)	few	to go out	to erase	to ascend
消える (きえる)	to go out	to erase	to ascend	to get on 
消す (けす)	to erase	to ascend	to get on 	to eat 
上る (のぼる)	to ascend	to get on 	to eat 	to lie down 
乗る (のる)	to get on 	to eat 	to lie down 	spicy
食べる (たべる)	to eat 	to lie down 	spicy	to become
寝る (ねる)	to lie down 	spicy	to become	clear weather
辛い (からい)	spicy	to become	clear weather	to clear up
なる (成る)	to become	clear weather	to clear up	blue
晴れ (はれ)	clear weather	to clear up	blue	soap
晴れる (はれる)	to clear up	blue	soap	to wash
青い (あおい)	blue	soap	to wash	many
石鹸 (せっけん)	soap	to wash	many	fat
洗う (あらう)	to wash	many	fat	to wait 
多い (おおい)	many	fat	to wait 	to lend
太い (ふとい)	fat	to wait 	to lend	a lot
待つ (まつ)	to wait 	to lend	a lot	to take off 
貸す (かす)	to lend	a lot	to take off 	short
たくさん (沢山)	a lot	to take off 	short	slow
脱ぐ (ぬぐ)	to take off 	short	slow	light brown
短い (みじかい)	short	slow	light brown	to fly
遅い (おそい)	slow	light brown	to fly	long 
茶色 (ちゃいろ)	light brown	to fly	long 	painful
飛ぶ (とぶ)	to fly	long 	painful	to tie
長い (ながい)	long 	painful	to tie	to cross over
痛い (いたい)	painful	to tie	to cross over	same
締める (しめる)	to tie	to cross over	same	pork
渡る (わたる)	to cross over	same	pork	to get cloudy
同じ (おなじ)	same	pork	to get cloudy	to enter
豚肉 (ぶたにく)	pork	to get cloudy	to enter	white
曇る (くもる)	to get cloudy	to enter	white	thin 
入る (はいる)	to enter	white	thin 	chopsticks
白い (しろい)	white	thin 	chopsticks	greengrocer
薄い (うすい)	thin 	chopsticks	greengrocer	that way 
箸 (はし)	chopsticks	greengrocer	that way 	to get tired
八百屋 (やおや)	greengrocer	that way 	to get tired	bath
あちら (彼方)	that way 	to get tired	bath	to line up
疲れる (つかれる)	to get tired	bath	to line up	to close
風呂 (ふろ)	bath	to line up	to close	busy
並ぶ (ならぶ)	to line up	to close	busy	bookshelves
閉める (しめる)	to close	busy	bookshelves	every night
忙しい (いそがしい)	busy	bookshelves	every night	again
本棚 (ほんだな)	bookshelves	every night	again	fountain pen
毎晩 (まいばん)	every night	again	fountain pen	interesting
また (又)	again	fountain pen	interesting	to play
万年筆 (まんねんひつ)	fountain pen	interesting	to play	evening 
面白い (おもしろい)	interesting	to play	evening 	wanted
遊ぶ (あそぶ)	to play	evening 	wanted	to come 
夕べ (ゆうべ)	evening 	wanted	to come 	cool
欲しい (ほしい)	wanted	to come 	cool	cold 
来る (くる)	to come 	cool	cold 	zero
涼しい (すずしい)	cool	cold 	zero	to talk
冷たい (つめたい)	cold 	zero	to talk	day before yesterday
れい (零)	zero	to talk	day before yesterday	why
話す (はなす)	to talk	day before yesterday	why	where
一昨日 (おととい)	day before yesterday	why	where	cute
なぜ (何故)	why	where	cute	this morning
どこ (何処)	where	cute	this morning	coat
かわいい (可愛い)	cute	this morning	coat	healthy
今朝 (けさ)	this morning	coat	healthy	evening meal
上着 (うわぎ)	coat	healthy	evening meal	remainder
丈夫 (じょうぶ)	healthy	evening meal	remainder	warm
夕飯 (ゆうはん)	evening meal	remainder	warm	various
あまり (余り)	remainder	warm	various	cloudiness
暖かい (あたたかい)	warm	various	cloudiness	soy sauce
いろいろ (色々)	various	cloudiness	soy sauce	to stand
曇り (くもり)	cloudiness	soy sauce	to stand	tobacco
醤油 (しょうゆ)	soy sauce	to stand	tobacco	gradually
立つ (たつ)	to stand	tobacco	gradually	drink
たばこ (煙草)	tobacco	gradually	drink	round
だんだん (段々)	gradually	drink	round	eye
飲み物 (のみもの)	drink	round	eye	apartment building
丸い (まるい)	round	eye	apartment building	elevator
目 (め)	eye	apartment building	elevator	cup 
アパート	apartment building	elevator	cup 	camera
エレベーター	elevator	cup 	camera	curry 
カップ	cup 	camera	curry 	calendar 
カメラ	camera	curry 	calendar 	kilo-
カレー (咖哩)	curry 	calendar 	kilo-	guitar
カレンダー	calendar 	kilo-	guitar	class
キロ	kilo-	guitar	class	gram
ギター	guitar	class	gram	coat 
クラス	class	gram	coat 	coffee
グラム (瓦)	gram	coat 	coffee	glass 
コート	coat 	coffee	glass 	copy
コーヒー (珈琲)	coffee	glass 	copy	shirt 
コップ	glass 	copy	shirt 	shower
コピー	copy	shirt 	shower	skirt
シャツ	shirt 	shower	skirt	room heater
シャワー	shower	skirt	room heater	spoon
スカート	skirt	room heater	spoon	sport
ストーブ	room heater	spoon	sport	slipper
スプーン	spoon	sport	slipper	trousers
スポーツ	sport	slipper	trousers	sweater
スリッパ	slipper	trousers	sweater	taxi
ズボン	trousers	sweater	taxi	table
セーター	sweater	taxi	table	tape
タクシー	taxi	table	tape	tape recorder
テーブル	table	tape	tape recorder	test
テープ	tape	tape recorder	test	television
テープレコーダー	tape recorder	test	television	department store 
テスト	test	television	department store 	toilet
テレビ	television	department store 	toilet	door 
デパート	department store 	toilet	door 	knife
トイレ	toilet	door 	knife	news
ドア	door 	knife	news	tie
ナイフ	knife	news	tie	notebook
ニュース	news	tie	notebook	handkerchief
ネクタイ	tie	notebook	handkerchief	bus 
ノート	notebook	handkerchief	bus 	butter
ハンカチ	handkerchief	bus 	butter	party
バス	bus 	butter	party	bread
バター	butter	party	bread	film
パーティ	party	bread	film	fork 
パン	bread	film	fork 	swimming pool 
フィルム	film	fork 	swimming pool 	bed
フォーク	fork 	swimming pool 	bed	page
プール	swimming pool 	bed	page	pen
ベッド	bed	page	pen	hotel
ページ (頁)	page	pen	hotel	ball-point pen
ペン	pen	hotel	ball-point pen	button
ホテル	hotel	ball-point pen	button	pocket
ボールペン	ball-point pen	button	pocket	postbox
ボタン	button	pocket	postbox	match 
ポケット	pocket	postbox	match 	metre
ポスト	postbox	match 	metre	radio
マッチ (燐寸)	match 	metre	radio	record 
メートル (米)	metre	radio	record 	restaurant 
ラジオ	radio	record 	restaurant 	shirt
レコード	record 	restaurant 	shirt	a little
レストラン	restaurant 	shirt	a little	other 
ワイシャツ (Ｙシャツ)	shirt	a little	other 	the tenth day of the month 
ちょっと (一寸)	a little	other 	the tenth day of the month 	to answer
他 (ほか)	other 	the tenth day of the month 	to answer	to be needed
十日 (とおか)	the tenth day of the month 	to answer	to be needed	one day 
答える (こたえる)	to answer	to be needed	one day 	to open 
いる (要る)	to be needed	one day 	to open 	breakfast
一日 (いちにち)	one day 	to open 	breakfast	to hear 
開く (あく)	to open 	breakfast	to hear 	pretty
朝ご飯 (あさごはん)	breakfast	to hear 	pretty	first day of the month 
聞く (きく)	to hear 	pretty	first day of the month 	there 
きれい (奇麗)	pretty	first day of the month 	there 	that 
一日 (ついたち)	first day of the month 	there 	that 	yes
あそこ (彼処)	there 	that 	yes	confections
あれ (彼)	that 	yes	confections	older brother
ええ	yes	confections	older brother	elder sister 
お菓子 (おかし)	confections	older brother	elder sister 	toilet
お兄さん (おにいさん)	older brother	elder sister 	toilet	grandfather 
お姉さん (おねえさん)	elder sister 	toilet	grandfather 	grandmother 
お手洗い (おてあらい)	toilet	grandfather 	grandmother 	belly
おじいさん (お祖父さん)	grandfather 	grandmother 	belly	this way 
おばあさん (お祖母さん)	grandmother 	belly	this way 	such 
お腹 (おなか)	belly	this way 	such 	come
こちら (此方)	this way 	such 	come	then
こんな	such 	come	then	that way 
さあ	come	then	that way 	that 
じゃあ	then	that way 	that 	and then
そちら (其方)	that way 	that 	and then	dull
それ (其れ)	that 	and then	dull	then
それから (其れから)	and then	dull	then	very
つまらない (詰らない)	dull	then	very	how
では	then	very	how	thank you
とても (迚も)	very	how	thank you	which 
どう (如何)	how	thank you	which 	now
どうも	thank you	which 	now	some more
どれ (何れ)	which 	now	some more	to do
もう	now	some more	to do	slowly
もっと	some more	to do	slowly	than 
やる (遣る)	to do	slowly	than 	to do
ゆっくり	slowly	than 	to do	to pull
より	than 	to do	to pull	wife
する (為る)	to do	to pull	wife	lukewarm
引く (ひく)	to pull	wife	lukewarm	below
奥さん (おくさん)	wife	lukewarm	below	always
ぬるい (温い)	lukewarm	below	always	please
下 (した)	below	always	please	which way
いつも (何時も)	always	please	which way	who
どうぞ	please	which way	who	house
どちら (何方)	which way	who	house	to open 
どなた (何方)	who	house	to open 	bag
家 (いえ)	house	to open 	bag	you 
開ける (あける)	to open 	bag	you 	near
かばん (鞄)	bag	you 	near	Friday
あなた (貴方)	you 	near	Friday	the ninth day of the month 
近く (ちかく)	near	Friday	the ninth day of the month 	sky
金曜日 (きんようび)	Friday	the ninth day of the month 	sky	Monday
九日 (ここのか)	the ninth day of the month 	sky	Monday	the fifth day of the month 
空 (そら)	sky	Monday	the fifth day of the month 	liked
月曜日 (げつようび)	Monday	the fifth day of the month 	liked	here 
五日 (いつか)	the fifth day of the month 	liked	here 	to bloom
好き (すき)	liked	here 	to bloom	the third day of the month 
ここ (此処)	here 	to bloom	the third day of the month 	fourth day of the month 
咲く (さく)	to bloom	the third day of the month 	fourth day of the month 	dictionary
三日 (みっか)	the third day of the month 	fourth day of the month 	dictionary	next
四日 (よっか)	fourth day of the month 	dictionary	next	for the first time 
字引 (じびき)	dictionary	next	for the first time 	place
次 (つぎ)	next	for the first time 	place	to write
初めて (はじめて)	for the first time 	place	to write	above
ところ (所)	place	to write	above	to blow 
書く (かく)	to write	above	to blow 	Wednesday
上 (うえ)	above	to blow 	Wednesday	to be born
吹く (ふく)	to blow 	Wednesday	to be born	previous
水曜日 (すいようび)	Wednesday	to be born	previous	ago
生まれる (うまれる)	to be born	previous	ago	well then ... 
先 (さき)	previous	ago	well then ... 	birthday
前 (まえ)	ago	well then ... 	birthday	to play 
それでは (其れでは)	well then ... 	birthday	to play 	to put
誕生日 (たんじょうび)	birthday	to play 	to put	to arrive at
弾く (ひく)	to play 	to put	to arrive at	inside
置く (おく)	to put	to arrive at	inside	exactly
着く (つく)	to arrive at	inside	exactly	Saturday
中 (なか)	inside	exactly	Saturday	to work
ちょうど (丁度)	exactly	Saturday	to work	second day of the month 
土曜日 (どようび)	Saturday	to work	second day of the month 	bustling
働く (はたらく)	to work	second day of the month 	bustling	Sunday
二日 (ふつか)	second day of the month 	bustling	Sunday	to put in
賑やか (にぎやか)	bustling	Sunday	to put in	why
日曜日 (にちようび)	Sunday	to put in	why	the eighth day of the month 
入れる (いれる)	to put in	why	the eighth day of the month 	noisy
どうして (如何して)	why	the eighth day of the month 	noisy	delicious
八日 (ようか)	the eighth day of the month 	noisy	delicious	unappetising
うるさい (煩い)	noisy	delicious	unappetising	wind
おいしい (美味しい)	delicious	unappetising	wind	thing
まずい (不味い)	unappetising	wind	thing	however
風 (かぜ)	wind	thing	however	to line up
物 (もの)	thing	however	to line up	to walk
しかし (然し)	however	to line up	to walk	direction
並べる (ならべる)	to line up	to walk	direction	to forget
歩く (あるく)	to walk	direction	to forget	book
方 (かた)	direction	to forget	book	to polish
忘れる (わすれる)	to forget	book	to polish	as yet
本 (ほん)	book	to polish	as yet	to lose 
磨く (みがく)	to polish	as yet	to lose 	to sing 
まだ (未だ)	as yet	to lose 	to sing 	Thursday
なくす (無くす)	to lose 	to sing 	Thursday	postcard 
鳴く (なく)	to sing 	Thursday	postcard 	sixth day of the month 
木曜日 (もくようび)	Thursday	postcard 	sixth day of the month 	to be 
はがき (葉書)	postcard 	sixth day of the month 	to be 	to go
六日 (むいか)	sixth day of the month 	to be 	to go	the seventh day of the month 
いる (居る)	to be 	to go	the seventh day of the month 	straight 
行く (いく)	to go	the seventh day of the month 	straight 	man
七日 (なのか)	the seventh day of the month 	straight 	man	store
まっすぐ (真っ直ぐ)	straight 	man	store	head 
人 (ひと)	man	store	head 	this 
店 (みせ)	store	head 	this 	eight
頭 (あたま)	head 	this 	eight	10000
この (此の)	this 	eight	10000	day after tomorrow
八つ (やっつ)	eight	10000	day after tomorrow	six
万 (まん)	10000	day after tomorrow	six	20 years old 
明後日 (あさって)	day after tomorrow	six	20 years old 	twentieth day of the month 
六つ (むっつ)	six	20 years old 	twentieth day of the month 	nicely
二十歳 (はたち)	20 years old 	twentieth day of the month 	nicely	to put on 
二十日 (はつか)	twentieth day of the month 	nicely	to put on 	to turn on
よく (良く)	nicely	to put on 	to turn on	and
履く (はく)	to put on 	to turn on	and	this 
つける (点ける)	to turn on	and	this 	good
そうして (然うして)	and	this 	good	that 
これ (此れ)	this 	good	that 	say
いい	good	that 	say	there 
あの (彼の)	that 	say	there 	that 
あのう	say	there 	that 	but
そこ (其処)	there 	that 	but	yes
その (其の)	that 	but	yes	one month
でも	but	yes	one month	chicken meat
はい	yes	one month	chicken meat	immediately
一月 (ひとつき)	one month	chicken meat	immediately	bento
鶏肉 (けいにく)	chicken meat	immediately	bento	et cetera
すぐに (直ぐに)	immediately	bento	et cetera	dinner
お弁当 (おべんとう)	bento	et cetera	dinner	once more
など (等)	et cetera	dinner	once more	red
晩御飯 (ばんごはん)	dinner	once more	red	small
もう一度 (もういちど)	once more	red	small	back
赤 (あか)	red	small	back	pet 
小さな (ちいさな)	small	back	pet 	radio-cassette player
背 (せ)	back	pet 	radio-cassette player	plate
ペット	pet 	radio-cassette player	plate	alcohol
ラジカセ	radio-cassette player	plate	alcohol	lunch
お皿 (おさら)	plate	alcohol	lunch	bath
お酒 (おさけ)	alcohol	lunch	bath	uncle 
昼ご飯 (ひるごはん)	lunch	bath	uncle 	aunt
お風呂 (おふろ)	bath	uncle 	aunt	child
おじさん (伯父さん)	uncle 	aunt	child	seven 
おばさん (伯母さん)	aunt	child	seven 	foot 
子供 (こども)	child	seven 	foot 	to say
七 (しち)	seven 	foot 	to say	meaning
足 (あし)	foot 	to say	meaning	one 
言う (いう)	to say	meaning	one 	number one
