이 약은 효과가 없으니 먹[으나 마나]이다.	這種藥沒有效果,吃不吃都一樣
교실에 가[니까] 아무도 없었다.	去教室發現都沒人。
화재[로 인해] 많은 피해가 발생했다	火災造成嚴重傷亡
나는 너의 친구[로서] 충고하겠어	作為你的朋友，我要給你忠告
대화[로써] 문제를 해결합시다	用對話解決問題吧
도차하[면] 전화하세요	到達後的話請打電話
음악을 들[으면서] 산책한다.	一邊聽音樂一邊散步。
아침에 빵[이나] 김밥을 먹는다.	我早上吃麵包[或]紫菜包飯。
어제 몸이 아파서 14시간[이나] 잤다.	昨天身體不舒服，睡了 14 個小時。
심심한데 영화[나] 볼까	好無聊，看個電影吧？
심심한데 영화[라도] 볼까	好無聊，看個電影吧？
경치가 그림[같이] 아름답다.	風景美麗如畫。
시간이 있으면 영화를 보[거나] 음악을 듣는다.	當我有時間時，我會看電影或聽音樂。
한국에서 오래 살았[거든]요. 그래서 한국말을 잘해요.	我在韓國生活了很久。 所以我韓語說得很好。
도착하[거든] 전화하세요.	到了就打電話
재미있[게] 공부한다.	有趣地念書
숙제 하[고 나서] 쉰다.	做完作業後休息。
인어공주는 죽[고 말았다]	小美人魚死了
꼭 성공하고 [말겠다].	一定要成功。
이유를 듣[고 보니] 왜 그랬는지 알겠다.	聽完原因，知道為什麼那樣了。
