기차를 [갈아타다]	「轉搭」火車
[고속버스]를 타다	搭「高速巴士」
[교통] 수단	「交通」方式
[교통비]가 들다	需要「交通費」
[기차]를 타다	搭「火車」
[기차역]에 도착하다	到「火車站」
[기차표]를 끊다	買「火車票」
[배]를 타다	搭「船」
[버스]를 타다	搭「公車」
[비행기]를 타다	搭「飛機」
[속도]가 빠르다	「速度」很快
짐을 [싣다]	「裝載」貨物
[역]에 내리다	在「車站」下車
[열차]를 타다	搭「火車」
영화표 [예매]	「預售」電影票
호텔 [예약]	預訂「旅館」
[자동차]를 운전하다	開「汽車」
[자전거]를 타다	騎「自行車」
[전철]을 타다	搭「地鐵」
[지하철]을 타다	搭「地鐵」
자동[차]	自動「車」
차에 [타다]	「開」車
[택시]를 타다	搭「計程車」
[트럭]을 타다	搭「卡車」
[표]를 끊다	買「票」
초보 [운전]	新手「駕駛」
[빈자리]에 앉다	坐在「空位」
[손잡이]를 잡다	緊握「扶手」
[승객]을 태우다	載「乘客」
[운전기사]가 안내하다	「司機」導覽
[환승역]에서 갈아타다	在「換乘站」轉車
[국내선]으로 갈아타다	轉搭「國內航班」
[비행장]에 착륙하다	在「機場」著陸
[에스컬레이터]에 타다	搭「手扶梯」
[자가용]으로 출근하다	開「自己的車」上班
[주유소]에서 일하다	在「加油站」工作
도시 [철도]	都市「鐵道」
비행기 [탑승]	「搭」機
비행기 [탑승객]	飛機「乘客」
[항공료]가 오르다	「機票價格」上漲
[항공편]을 알아보다	打聽「航班」
[과속] 운전	「超速」駕駛
지하철 [노선]	地下鐵「路線」
[대로]로 나서다	走上「大道」
[면허]를 따다	取得「執照」
[면허증]을 따다	取得「執照」
[보행자] 도로	「行人」道路
[안전띠]를 매다	繫「安全帶」
[왕복]으로 운행하다	「來回」駕駛
[우회전]을 알리다	告知「右轉」
[운전면허]를 따다	取得「駕駛執照」
[운행] 노선	「運行」路線
운행 [정지]	運行「中止」
[좌석]에 앉다	坐在「座位」
[지름길]로 가다	走「捷徑」
[큰길]로 다니다	到「主要街道」
차에 [태우다]	用車「載」
[터널]을 지나다	過「隧道」
[통행]을 금지하다	禁止「通行」
[바퀴]가 돌다	「車輪」轉
자동 [세차]	「自動」洗車
[차창]을 닦다	擦「車窗」
[교통수단]을 이용하다	利用「交通工具」
[교통편]을 예약하다	預訂「交通工具」
[대중교통] 으로 가다	搭「公共交通」前往
[렌터카]를 빌리다	租「出租車」
[막차]를 타다	搭「末班車」
[승용차]를 운전하다	「車子」運轉
[승차] 거부	拒「載」
[승차권]을 끊다	買「車票」
[시내버스]를 타다	搭「城市公交車」
[오토바이]를 타다	坐「摩托車」
[주차권]을 사다	買「停車票」
[주차료]를 내다	付「停車費」
[중고차]를 사다	買「二手車」
[중형차]를 운전하다	開「中型車」
[차비]를 내다	付「車費」
차에 [부딪히다]	車「被撞」
