[계산]	結帳
[꽃집]을 열다	開「花店」
[마트]에서 사다	在「超市」買
[빵집]에서 일하다	在「麵包店」工作
[서점]:책방	書店
[세탁소]에 옷을 맡기다	把衣服送「洗衣店」
[술집]에서 술을 마시다	在「酒吧」喝酒
[슈퍼마켓]에서 사다	在「超級市場」買
[시장]에 가다	去「市場」
[약국]에 가다	去「藥店」
가게 [주인]	店「主人」
[카페]에서 만나다	在「咖啡店」見面
[커피숍]에서 만나다	在「咖啡館」見面
[거리]	大街
[공장]에서 일하다	在「工廠」工作
[교통사고]가 나다	發生「交通意外」
[교회]:기독교	「教會」：基督教
[극장]에서 상영하다	在「劇場」上映
집 [근처]	家「附近」
[길]이 막히다	「道路」擁塞
[노래방]에 가다	去「KTV」
[다리]를 건너다	過「橋」
[도로]를 건너다	越過「道路」
[목욕탕]에서 씻다	在「浴池」洗
[박물관]을 구경하다	參觀「博物館」
[빌딩]을 짓다	蓋「房子」
[사거리]를 건너다	穿越「十字路口」
[사고]가 나다	發生「意外」
[사무실]에 출근하다	去「辦公室」上班
[삼거리]가 나오다	出現「三岔路」
[신호]를 기다리다	等「紅綠燈」
[신호등]을 기다리다	等「紅綠燈」
[아파트]에 살다	買「公寓」
[육교]를 건너다	走「天橋」
[장소]를 정하다	決定「地點」
버스 [정거장]	公車「車站」
버스 [정류장]	公車「車站」
[주차] 위반	違規「停車」
[주차장]에 세우다	停在「停車場」
[지하도]를 건너다	穿越「地下道」
[지하철역]에 도착하다	到達「地鐵站」
[횡단보도]를 건너다	穿越「班馬線」
[가게]에 가다	去「店舖」
[편의점]에서 사다	在「便利商店」買
[건물]을 짓다	蓋「房子」
[공원]에서 놀다	在「公園」玩
[공항] 터미널	「機場」航廈（空港）
[도서관]에서 공부하다	在「圖書館」念書
[동물원]에 가다	去「動物園」
[미용실]에 가다	去「美容室」
[백화점]에서 사다	在「百貨公司」買
[영화관]에 가다	去「電影院」（映畫館）
[우체국]에 가다	去「郵局」
[은행]에 입금하다	在「銀行」存錢
[호텔]에 묵다	停泊在「飯店」
[계산기]로 계산하다	用「計算機」計算
[계산대]에서 계산하다	在「櫃枱」結帳
[매장]을 열다	「賣場」開門
[매점]을 운영하다	經營「店鋪」
[문구점]에 가다	去「文具店」
[문방구]에 가다	去「文具店」
[사진관]에서 사진을 찍다	在「相館」照相
[사진첩]에 사진을 끼우다	在「相片集」
[상가]에서 사다	在「店鋪」買
[상점]을 운영하다	經營「店鋪」
[슈퍼]에서 사다	在「超市」買
[시중] 가격	「市場」價格
[식품점]에서 사다	在「雜貨店」買
커피 [전문점]	咖啡「專賣店」
[정육점]에서 고기를 사다	去「精肉店」買肉
[제과점]에서 빵을 사다	「麵包店」買麵包
[할인점]을 이용하다	利用「折扣店」
[기둥]을 세우다	立起「柱子」
[가로등]이 켜지다	「路燈」被打開
길을 [가로막다]	路被「擋住」
[간판]을 걸다	掛「招牌」
[건널목]을 건너가다	過「馬路」
[고층] 빌딩	高樓大廈
좁은 [골목]	陃「巷」
[골목길]을 걷다	走入「小巷」
전국 [곳곳]	各國「各地」
[공공장소]를 이용하다	利用「公共場所」
금연 [구역]	禁煙「區域」
[길가]에 서다	站在「路邊」
[길거리]를 걷다	走在「街上」
버스 [노선도]	巴士「路線圖」
[단지]를 조성하다	建成「團地」
[뒷골목] 으로 다니다	去「後街」
[미장원]에서 머리를 하다	在「美容院」做頭髮
[빗길]에 미끄러지다	「雨路」很滑
[사건]이 발생하다	「事件」發生
[안내판]을 세우다	豎起「告示牌」
[여관]에서 자다	汽車旅館
[인도]로 걷다	走「人行道」
[작은집]에 가다	去「小房子」
[장애]가 되다	形成「障礙」
[표지판]을 세우다	安裝「標誌板」
[차도]로 다니다	走「車道」
[차량]을 통제하다	「車輛」管控
[차로]를 건너다	越過「車道」
[차선]을 변경하다	變換「車道」
[하차]:승차	下車
