5659	等級	字行	詞性	韓文	中文	拼寫	字源	韓文片語	中文解釋	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
	初級	ㄱ	形容詞	괜찮다	好	V		성격이 [괜찮다]	人品好		樣態	比較	緩急			樣態_比較	樣態_比較_緩急		粗	有興趣	可愛的
	初級	ㅈ	副詞	주로	主要	V	主要	[주로] 말하다	「主要」說		樣態	比較	緩急			樣態_比較	樣態_比較_緩急		一直打擾	自然	滿滿地
	初級	ㅈ	名詞	중요	重要	V	重要	[중요] 자료	「重要」資料		樣態	比較	緩急			樣態_比較	樣態_比較_緩急		進中學	中學生	遲到
	初級	ㄱ	名詞	기회	機會	V		[기회]를 놓치다	錯過「機會」		樣態	比較	機率			樣態_比較	樣態_比較_機率		緊張	道路	長度
	初級	ㄱ	副詞	꼭	一定	V		[꼭] 오세요	「一定」要来哦		樣態	比較	機率			樣態_比較	樣態_比較_機率		滿滿地	暫時	傲慢
	初級	ㄷ	副詞	똑같이	平均	V		[똑같이] 나누다	「均」分		樣態	比較	機率			樣態_比較	樣態_比較_機率		向前	幸虧	簡單地
	初級	ㅁ	名詞	만약	如果	V		[만약]의 경우	「如果」的狀況		樣態	比較	機率			樣態_比較	樣態_比較_機率		萬一	漫畫	說話
	初級	ㅁ	名詞	만일	萬一	V		[만일]에 대비하다	以防「萬一」		樣態	比較	機率			樣態_比較	樣態_比較_機率		漫畫	說話	馬
	初級	ㅇ	副詞	아마	也許	V		[아마]을 것이다	也許吧		樣態	比較	機率			樣態_比較	樣態_比較_機率		不管再怎麼	很	還
	初級	ㅈ	名詞	정도	程度	V		어느 [정도]	某種「程度」		樣態	比較	機率			樣態_比較	樣態_比較_機率		車站	收拾	前門
	初級	ㅎ	副詞	혹시	如果	V		[혹시]:만일	如果		樣態	比較	機率			樣態_比較	樣態_比較_機率		活躍的	更	也是
	初級	ㅂ	動詞/形容詞	밝다	明亮的	V		불빛이 [밝다]	明亮的		樣態	比較	明暗			樣態_比較	樣態_比較_明暗		在家	困	偶爾
	初級	ㄱ	形容詞	강하다	力量強	V		힘이 [강하다]	力量「強」		樣態	比較	強弱			樣態_比較	樣態_比較_強弱	強い 	相同	懶惰的	感謝
	初級	ㅇ	形容詞	약하다	弱	V		힘이 [약하다]	力量「虛弱」		樣態	比較	強弱			樣態_比較	樣態_比較_強弱	弱い 	薄	暗	怎樣
	初級	ㄱ	形容詞	깊다	深	V		바다가 [깊다]	海很「深」		樣態	比較	深淺			樣態_比較	樣態_比較_深淺		黑	乾淨	滿滿
	初級	ㄱ	副詞	깊이	深深地	V		[깊이] 묻다	埋得「深深地」		樣態	比較	深淺			樣態_比較	樣態_比較_深淺	深さ 	驚喜	洗乾淨	一定
	初級	ㅅ	冠形詞	새	新衣	V		[새] 옷	「新」衣		樣態	比較	新舊			樣態_比較	樣態_比較_新舊	鳥 	三四個	消極的	大約
	初級	ㅅ	副詞	새로	新買的	V		[새로] 사다	「新」買的		樣態	比較	新舊			樣態_比較	樣態_比較_新舊		彼此	偷偷溜出去	沒有關係
	初級	ㅅ	形容詞	새롭다	新的	V		기억이 [새롭다]	記憶「猶新」		樣態	比較	新舊			樣態_比較	樣態_比較_新舊		涼爽	感到失望	硬
	初級	ㄱ	名詞	거짓말	謊話	V		[거짓말]을 하다	說謊		樣態	比較	虛實			樣態_比較	樣態_比較_虛實		擔心	健康	對面
	初級	ㄱ	動詞	계시다	在	V		한국에 [계시다]	「在」韓國（敬語）		樣態	比較	虛實			樣態_比較	樣態_比較_虛實	いらっしゃる 	挑	修理	痛楚
	初級	ㅈ	名詞/副詞	정말	真話	V		지금까지 한 말은 [정말]이다.	到现在为止我所说的都是「真话」。		樣態	比較	虛實			樣態_比較	樣態_比較_虛實		真話	最	一點
	初級	ㅈ	名詞/副詞	진짜	真的	V		[진짜] 괜찮다	「真的」沒闗係		樣態	比較	虛實			樣態_比較	樣態_比較_虛實		絕對	逐步地	實際上
	初級	ㅊ	副詞	참	真	V		[참] 좋다	「真」不錯		樣態	比較	虛實			樣態_比較	樣態_比較_虛實		慢慢	不如	忍心
	初級	ㄱ	形容詞	같다	相同	V		서로 [같다]	彼此「相同」		樣態	比較	異同			樣態_比較	樣態_比較_異同		懶惰的	感謝	餓
	初級	ㄷ	形容詞	다르다	不同的	V		모양이 [다르다]	「不同的」模樣		樣態	比較	異同			樣態_比較	樣態_比較_異同	違う、異なる 	甜的	鬱悶	髒
	初級	ㄷ	形容詞	똑같다	相同的	V		모양이 [똑같다]	「相同的」模樣		樣態	比較	異同			樣態_比較	樣態_比較_異同		聰明	胖	燙
	初級	ㅂ	形容詞	비슷하다	相似	V		성격이 [비슷하다]	性格「相似」		樣態	比較	異同			樣態_比較	樣態_比較_異同		貴	快	紅色的
	初級	ㄱ	副詞	가장	最	V		[가장] 빠르다	「最」快		樣態	比較				樣態_比較	樣態_比較_	家長 	簡單地	突然	一起
