[기숙사]에서 살다	住「宿舍」
[운동장]을 뛰다	在「操場」跑
[하숙집]에 묵다	待「宿舍」
[학교]에 다니다	上「學」
[영어]:언어	英語
대학 [입학]	大學「入學」
[입학시험]에 합격하다	「入學考試」合格
한국의 [역사]	韓國「歷史」
[고등학생]이 되다	成為「高中學生」
[여학생]:남학생	女學生
[중학생]이 되다	成「中學生」
[초등학생]이 되다	成為「小學生」
[학생]을 가르치다	教「學生」
[결석]을 하다	缺席
[고등학교]에 입학하다	進「中學」
[공부]를 하다	「工夫」（學習）
[교과서]에서 배우다	從「教科書」學習
[교육]을 받다	接受「教育」
[글]	字
[글씨]	字體
[글자]	字 (-字）
[기말시험]을 보다	考「期末考」
문제를 [내다]	「提出」問題
[노력]을 하다	努力
[뉴스]를 보다	看「新聞」
회사에 [다니다]	去「公司」
[대학]에 들어가다	進「大學」
[대학교]에 입학하다	進「大學」
[대학생]이 되다	成為「大學生」
[대학원]을 다니다	讀「研究所」
[독서]를 하다	讀書
[말]을 하다	說「話」
답이 [맞다]	答案「正確」
답을 [맞추다]	答「對」
[메모]를 하다	記「備忘錄」
[메시지]를 남기다	留「訊息」
[메일]을 쓰다	寫「郵件」
[문제]를 풀다	解「問題」
[문화]를 교류하다	「文化」交流
사과 [반]	「半個」蘋果
우리 [반]	我們「班」
노트에 [받아쓰다]	「聽寫」在筆記上
글을 [배우다]	學「文字」
[버릇]이 되다	養成「習慣」
[복습]:예습	複習
[봉투]를 열다	拆「信」
발음이 [분명하다]	發音「很清楚」
[사전]을 찾다	查「字典」
[상]을 받다	得「奬」
[성공]:실패	「成功」<> 失敗
[성적]을 거두다	取得「成績」
주먹이 [세다]	拳頭「硬」
[수업]을 받다	上「課」
[수첩]에 쓰다	寫「手冊」
[숙제]를 하다	寫「作業」
[시험]을 보다	考試
[신문]을 읽다	看「報紙」
[안내문]을 받다	收到「指示文」
선생님께 [여쭙다]	向老師「請教」
피아노 [연습]	「練習」鋼琴
[연필]로 쓰다	用「鉛筆」寫
[열심히] 공부하다	「用心」念書
[엽서]를 보내다	寄「明信片」
[예습]:복습	預習
[외국어]로 말하다	說「外語」
단어를 [외우다]	「記」單字
[유치원]에 입학하다	「幼兒園」入學
[유학]을 가다	去「留學」
[의미]가 있다	有「意義」
[일기]를 쓰다	寫「日記」
책을 [읽다]	「讀」書
