곱다	美	恭敬的	沒闗係	闗係
곱하다	乘	折磨	滾	彎
곳곳	各地	零	空間	同情
공	零	公務員	學習	工廠
공간	空間	同情	公開	攻擊
공감	同情	公開	攻擊	公共
공개	公開	攻擊	公共	公共費用
공격	攻擊	公共	公共費用	公共場所
공공	公共	公共費用	公共場所	私下
공공요금	公共費用	公共場所	交通	供給
공공장소	公共場所	公共費用	供給	空氣
공과금	公共費用	供給	空氣	空碗
공급	供給	空氣	空碗	共同
공기	空氣	空碗	共同	共同體
공기	空碗	空碗	共同	共同體
공동	共同	共同體	工程	正式
공동체	共同體	工程	正式	工業
공사	工程	正式	工業	公演
공손하다	恭敬的	沒闗係	闗係	痛
공식	正式	工業	公演	表演場
공업	工業	公演	表演場	公主
공연	公演	表演場	公主	公共電話
공연장	表演場	公主	公共電話	公告
공적	功績	科學的	具體的	規律的
공주	公主	公共電話	公告	共通
공중전화	公共電話	公告	共通	典通點
공지	公告	共通	典通點	恐怖
공통	共通	典通點	恐怖	公害
공통점	典通點	恐怖	公害	科
공포	恐怖	公害	科	過勞
공해	公害	科	過勞	科目
과	科	過勞	科目	過度消費
과로	過勞	科目	過度消費	超速
과목	科目	過度消費	超速	過食
과소비	過度消費	超速	過食	課外
과속	超速	過食	課外	誇張
과식	過食	課外	誇張	課長
과연	果然	無闗	白白地	非常
과외	課外	誇張	課長	過程
과장	誇張	課長	過程	課題
