그림책	圖畫書	之中	克服	根據
그만큼	這些	後天	全	略
그만하다	停止	粗	禁止	劃
그야말로	簡直	只是	就在此刻	那麼
그저	只是	就在此刻	那麼	極
그제	前天	明天	大部份	暫時
그제야	就在此刻	那麼	極	順便一提
그중	之中	克服	根據	近郊
그토록	那麼	極	順便一提	急劇地
극복	克服	根據	近郊	近代
극히	極	順便一提	急劇地	急速地
근거	根據	近郊	近代	近來
근교	近郊	近代	近來	工人
근대	近代	近來	工人	工作
근데	順便一提	急劇地	急速地	匆忙地
근래	近來	工人	工作	根本
근로자	工人	工作	根本	擔心
근무	工作	根本	擔心	肌肉
근본	根本	擔心	肌肉	金：星期五
근본적	根本的	積極的	基本的	內向的
근심	擔心	肌肉	金：星期五	黃金
근육	肌肉	金：星期五	黃金	今年
굵다	粗	禁止	劃	爬行
금	金：星期五	黃金	今年	金額
금	黃金	黃金	今年	金額
금년	今年	金額	禁煙	金融
금액	金額	禁煙	金融	激增
금연	禁煙	金融	激增	機器
금융	金融	激增	機器	機關
금하다	禁止	劃	爬行	靠
급격히	急劇地	急速地	匆忙地	亮
급속히	急速地	匆忙地	亮	用力
급증	激增	機器	機關	器具
급히	匆忙地	亮	用力	仔細
긋다	劃	爬行	靠	傾斜
긍정적	積極的	基本的	內向的	合乎邏輯的
기계	機器	機關	器具	紀念
기관	機關	器具	紀念	紀念日
기구	器具	紀念	紀念日	紀念品
기념	紀念	紀念日	紀念品	機能
