길다	長	剝	剝來吃	舖
김	熱氣	海苔飯卷	泡菜	泡菜鍋
깊이	深度	驚喜	洗乾淨	一定
까다	剝	剝來吃	舖	放
까다롭다	苛刻	乾淨	黑暗	仔細
까닭	原因	芝麻	皮	尾巴
까먹다	剝來吃	切	舖	閃爍
깔끔하다	乾淨	黑暗	仔細	堅持不懈地
깔다	舖	打折	閃爍	打破
깔리다	舖	閃爍	打破	領會
깜깜하다	黑暗	仔細	堅持不懈地	一直
깜박하다	閃爍	打破	領會	打碎
깜빡	亮	用力	仔細	動彈
깨	芝麻	皮	尾巴	巔峰
깨다	打破	取出	做夢	關
깨닫다	領會	打碎	咬住	清醒
깨뜨리다	打碎	咬住	清醒	醒
깨물다	咬住	清醒	醒	碎了
깨어나다	清醒	醒	碎了	熄
깨우다	醒	碎了	熄	摘
깨지다	碎了	熄	摘	抱
꺼지다	熄	摘	抱	屈（指）
꺾다	摘	抱	屈（指）	剪
껍질	皮	尾巴	巔峰	插花
껴안다	抱	醒	屈（指）	插入
꼬리	尾巴	巔峰	插花	花紋
꼭	用力	滿滿地	暫時	傲慢
꼭대기	巔峰	插花	花紋	花瓣
꼼꼼하다	仔細	堅持不懈地	一直	沒極限
꼼꼼히	仔細	動彈	使勁	相當
꼼짝	動彈	使勁	相當	堅持不懈地
꼽다	屈（指）	閃爍	插入	插花
꼽히다	屈（指）	插入	插花	借貸
꽂다	插入	插花	借貸	收捨
꽂히다	插花	借貸	收捨	打扮
꽃꽂이	插花	花紋	花瓣	責備
꽃무늬	花紋	花瓣	責備	蜂蜜
꽃잎	花瓣	責備	蜂蜜	夢中
꽉	使勁	相當	堅持不懈地	不絕
꽤	相當	堅持不懈地	不絕	終究
