꾸다	借貸	關	戒	斷
꾸리다	收捨	打扮	跪下	做夢
꾸미다	打扮	跪下	做夢	點
꾸준하다	堅持不懈地	一直	沒極限	糟
꾸준히	堅持不懈地	不絕	終究	不斷
꾸중	責備	蜂蜜	夢中	繩子
꿀	蜂蜜	夢中	繩子	餐
꿇다	跪下	做夢	點	斷掉
꿈꾸다	做夢	點	斷掉	醒來
꿈속	夢中	繩子	餐	明年
끄덕이다	點	連接	斷掉	拖
끈	繩子	餐	明年	黃色
끊기다	斷掉	開始	拖	結合
끊어지다	斷掉	連接	拖	拉過來
끊임없다	一直	沒極限	糟	苗條
끊임없이	不絕	終究	不斷	非常
끌다	拖	痊癒	拉過來	抱
끌리다	拖	拉過來	抱	積著
끌어당기다	拉過來	抱	積著	扣上
끌어안다	抱	積著	扣上	鑽進
끝내	終究	不斷	非常	高高地
끝없다	沒極限	糟	苗條	好的
끝없이	不斷	非常	高高地	經常
끼	餐	明年	黃色	綠色
끼다	積著	裝飾	栽培	關
끼다	扣上	裝飾	栽培	關
끼어들다	鑽進	扣上	夾在	起
끼우다	扣上	夾在	起	讓人
끼이다	夾在	起	讓人	出去
끼치다	起	讓人	出去	分成
끼치다	讓人	讓人	出去	分成
량	數量	檸檬	鏡片	出租車
레몬	檸檬	鏡片	出租車	登錄
렌즈	鏡片	出租車	登錄	機器人
렌터카	出租車	登錄	機器人	韻律
로그인	登錄	機器人	韻律	遙控器
로봇	機器人	韻律	遙控器	絲帶
리듬	韻律	遙控器	絲帶	星期四
리모컨	遙控器	絲帶	星期四	門
리본	絲帶	星期四	門	對不起
