미소하다	微小	美術	美髮師	恨
미술	美術	美髮師	恨	美人
미용사	美髮師	恨	美人	美容院
미움	恨	美人	美容院	聯誼
미인	美人	美容院	聯誼	單身的
미장원	美容院	聯誼	單身的	民俗遊戲
미지근하다	不冷不熱	討厭	忙	歡迎
미처	還沒有	與	立即	務必
미치다	瘋	造成	堵	擠
미치다	造成	造成	堵	擠
미팅	聯誼	單身的	民俗遊戲	民族
미혼	單身的	民俗遊戲	民族	民主主義
민속놀이	民俗遊戲	民族	民主主義	信任
민족	民族	民主主義	信任	底部
민주주의	民主主義	信任	底部	劃線
믿음	信任	底部	劃線	百貨公司
밀리다	堵	擠	看	換成
밀리다	擠	擠	看	換成
밀리미터	毫米	公斤	公尺	公里
밉다	討厭	忙	歡迎	複雜
및	與	立即	務必	已經
밑바닥	底部	劃線	百貨公司	春天
밑줄	劃線	百貨公司	春天	粉紅色
나뉘다	分開	搬運	訓斥	變糟
나란히	並排	每時每刻	太	廣泛地
나르다	搬運	訓斥	變糟	出去
나름	取決於	訓斥	變糟	出去
나무라다	訓斥	變糟	出去	向前
나물	野菜	樹枝	葉子	蝴蝶
나뭇가지	樹枝	葉子	蝴蝶	刀
나뭇잎	葉子	蝴蝶	刀	落葉
나비	蝴蝶	刀	落葉	壁爐
나빠지다	變糟	出去	向前	好轉
나서다	出去	向前	好轉	出現
나아가다	向前	好轉	出現	飄
나아지다	好轉	出現	飄	飛揚
나이프	刀	落葉	壁爐	戰亂
나타내다	出現	飄	飛揚	飛走
낙엽	落葉	壁爐	戰亂	暖房
난로	壁爐	戰亂	暖房	翅膀
