냉방	冷氣	冷水	那邊	寬度
냉수	冷水	那邊	寬度	正方形
냉정하다	冷靜	寛容	寬裕	驚人
너그럽다	寛容	寬裕	驚人	炫耀
너머	那邊	寬度	正方形	網友
너무나	太	廣泛地	再次	更多的
넉넉하다	寬裕	驚人	炫耀	輕鬆
널다	晾	飛	擴大	交出
널리	廣泛地	再次	更多的	更
넓어지다	擴大	謀生	交出	越過
넓이	寬度	正方形	網友	勞動
넓히다	擴大	交出	越過	倒下
넘겨주다	交出	越過	倒下	擊倒
넘기다	越過	倒下	擊倒	超出
넘어가다	倒下	擊倒	超出	倒了
넘어뜨리다	擊倒	超出	倒了	溢出
넘어서다	超出	倒了	溢出	盯
넘어오다	倒了	溢出	盯	熔化
넘치다	溢出	盯	熔化	不足
네모	正方形	網友	勞動	工人
네티즌	網友	勞動	工人	黃色的
녀석	-傢伙			
년대	-年代			
년도	-年度			
노동	勞動	工人	黃色的	路線
노동자	工人	黃色的	路線	路線圖
노랑	黃色的	路線	路線圖	老人
노려보다	盯	戲弄	熔化	爬上
노선	路線	路線圖	老人	筆記本電腦
노선도	路線圖	老人	筆記本電腦	錄音
노약자	老人	筆記本電腦	錄音	錄音機
노트북	筆記本電腦	錄音	錄音機	記錄
녹다	熔化	結合	戲弄	玩
녹음	錄音	錄音機	記錄	邏輯
녹음기	錄音機	記錄	邏輯	爭論
녹이다	熔化	戲弄	玩	上升
녹화	記錄	邏輯	爭論	錄影
논리	邏輯	理論	爭論	遊樂園
논리적	合乎邏輯的	代表的	文化的	物質的
논의	爭論	家庭	論文	遊樂園
