논쟁	爭論	論說	遊樂園	農民
놀랍다	驚人	炫耀	輕鬆	膩
놀리다	戲弄	玩	上升	增高
놀리다	玩	玩	上升	增高
놀이공원	遊樂園	操場	農民	民眾
놀이터	遊樂園	教訓	農民	農業
농민	農民	民眾	農業	農活
농부	農民	農業	農活	農產品
농사	農業	農活	農產品	漁業
농사일	農活	農產品	農業	鄉村
농산물	農產品	農業	鄉村	敬語
농업	農業	鄉村	敬語	腦
농촌	鄉村	敬語	腦	姐姐
높아지다	上升	增高	放在	放心
높이다	增高	放在	放心	放
높임말	敬語	腦	姐姐	眼角
놓아두다	放在	放心	拿起	移到
놓이다	放心	放	放在	閉眼
놓치다	放	放在	閉眼	醒來
놔두다	放在	閉眼	醒來	臥
뇌	腦	姐姐	眼角	目光
누님	姐姐	眼角	目光	瞳孔
눈가	眼角	目光	瞳孔	眼病
눈감다	閉眼	醒來	臥	增加
눈길	目光	瞳孔	眼病	眼角
눈동자	瞳孔	眼病	目光	雪人
눈뜨다	醒來	臥	增加	減少
눈병	眼病	目光	雪人	雪仗
눈부시다	炫耀	輕鬆	膩	不同的
눈빛	目光	雪人	雪仗	眉
눈사람	雪人	雪仗	眉	眼前
눈싸움	雪仗	眉	眼前	察眼觀色
눈썹	眉	眼前	察眼觀色	深秋
눈앞	眼前	察眼觀色	深秋	晚冬
눈치	察眼觀色	深秋	晚冬	晚春
눕히다	臥	戲弄	增加	一直
느긋하다	輕鬆	膩	不同的	甜的
느끼하다	膩	不同的	甜的	鬱悶
늘리다	增加	謀生	一直	排隊
늘어나다	增加	一直	排隊	拉長
