늘어놓다	一直	排隊	拉長	遲到
늘어서다	排隊	拉長	遲到	延緩
늘이다	拉長	遲到	延緩	去一趟
늦가을	深秋	晚冬	晚春	晚夏
늦겨울	晚冬	晚春	晚夏	睡過頭了
늦봄	晚春	晚夏	睡過頭了	圖書館
늦어지다	遲到	延緩	去一趟	去
늦여름	晚夏	睡過頭了	圖書館	動物園
늦잠	睡過頭了	圖書館	動物園	腿
늦추다	延緩	去一趟	去	受傷
님	先生	去一趟	去	受傷
아가	嬰兒	孩子	兒子	樓下
아깝다	捨不得	無所謂	放棄	不好
아끼다	省	浪費	擁抱	痛惜
아냐	沒有	哎	天哪	啊哈
아동	孩子	兒子	樓下	晚輩
아드님	兒子	樓下	晚輩	父母
아래층	樓下	晚輩	樓上	遺憾
아랫사람	晚輩	樓下	遺憾	亞洲
아랫집	樓下	遺憾	亞洲	主意
아마도	可能	總是	無論如何	根本
아무개	某某人	我	那個	沒有人
아무래도	總是	無論如何	根本	兼具
아무런	沒有	兩	很久	全
아무렇다	無所謂	捨不得	不好	遺憾
아무튼	無論如何	根本	兼具	之前
아쉬움	遺憾	亞洲	主意	早餐
아쉽다	捨不得	不好	遺憾	充實
아시아	亞洲	主意	早餐	早晚
아예	根本	兼具	之前	喵
아울러	兼具	之前	喵	遲早
아이	哎	天哪	啊哈	哦
아이고	天哪	啊哈	哦	哇
아이디어	主意	早餐	早晚	非洲
아침밥	早餐	早晚	非洲	疼痛
아침저녁	早晚	非洲	疼痛	惡夢
아프리카	非洲	疼痛	惡夢	握手
아픔	疼痛	惡夢	握手	惡臭
아하	啊哈	喂	哦	啊
아홉째	第九	第八	第六	第十天
