양식	形式	西式餐廳	刷牙	故事
양심	良心	兩旁	兩邊	洋蔥
양옆	兩旁	兩邊	洋蔥	黑暗
양쪽	兩邊	洋蔥	黑暗	苦難
양파	洋蔥	黑暗	苦難	老人
얕다	淺的	愚蠢的	很尷尬	暈眩的
얘	이 아이 的縮語	該怎麼辦	所以	那小孩
어긋나다	偏離	違反	畏懼	辦法
어기다	違反	畏懼	辦法	擱
어느덧	遲早	突然	還是	偶爾
어느새	突然	還是	偶爾	可能
어둠	黑暗	苦難	老人	孩子
어떡하다	該怎麼辦	所以	那小孩	我的
어려움	苦難	老人	孩子	詞彙
어려워하다	畏懼	辦法	擱	乞食
어르신	老人	孩子	詞彙	語調
어리석다	愚蠢的	很尷尬	暈眩的	抑鬱
어린애	孩子	詞彙	語調	提及
어머	哦	啊	老公	喔
어색하다	很尷尬	暈眩的	抑鬱	莊嚴
어저께	昨天	這麼多	錯誤	等一下
어지럽다	暈眩的	抑鬱	莊嚴	很大
어쨌든	還是	偶爾	可能	難怪
어쩌다	偶爾	可能	難怪	多麼
어쩌면	可能	難怪	多麼	反正
어쩐지	難怪	多麼	反正	勉強
어찌나	多麼	反正	勉強	某一天
어찌하다	辦法	擱	乞食	凍結
어차피	反正	勉強	某一天	匆忙
어휘	詞彙	語調	提及	坡道
어휴	啊	老公	喔	我
억양	語調	提及	坡道	舆论
억울하다	抑鬱	莊嚴	很大	不合體
억지로	勉強	某一天	匆忙	沒有
언급	提及	坡道	舆论	污漬
언덕	坡道	舆论	污漬	有些
언론	舆论	污漬	有些	嚴格
언젠가	某一天	匆忙	沒有	非
얹다	擱	乞食	凍結	背
얻어먹다	乞食	凍結	背	刪除
