윗글	上文	長輩	儒教	有能
윗사람	長輩	儒教	有能	誘導
유교	儒教	有能	誘導	遊輪
유난히	異常地	馬上	像這樣	一會兒後
유능	有能	誘導	遊輪	歐洲
유도	誘導	遊輪	歐洲	收費
유람선	遊輪	歐洲	收費	有利
유럽	歐洲	收費	有利	玻璃窗
유료	收費	有利	玻璃窗	幽默
유리	有利	有名	幼兒園	留學
유리창	玻璃窗	幽默	遺物	遺產
유머	幽默	遺物	遺產	唯一
유물	遺物	遺產	唯一	遺跡
유산	遺產	唯一	遺跡	遺跡地
유일	唯一	遺跡	遺跡地	維持
유적	遺跡	遺跡地	維持	愉快
유적지	遺跡地	維持	愉快	流通
유지	維持	愉快	流通	類別
유창하다	流利	幼稚	有利	順手
유치하다	幼稚	有利	順手	小
유쾌	愉快	流通	類別	誘惑
유통	流通	類別	誘惑	陸軍
유형	類別	誘惑	陸軍	陸地
유혹	誘惑	陸軍	陸地	身體
육군	陸軍	陸地	身體	銀
육지	陸地	身體	銀	恩
육체	身體	銀	恩	農曆：陽曆
육체적	肉體的	強制性的	異國的	自私
으악	哇	比較	各國	幾乎
은	銀	恩	農曆：陽曆	唱片
은혜	恩	農曆：陽曆	唱片	語音
음력	農曆：陽曆	唱片	語音	飲食物
음반	唱片	語音	飲食物	音樂會
음성	語音	飲食物	音樂會	飲酒
음식물	飲食物	音樂會	飲酒	急診室
음악회	音樂會	飲酒	急診室	回答
음주	飲酒	急診室	回答	應試
응급실	急診室	回答	應試	應援
응답	回答	應試	應援	觀點
응시	應試	應援	觀點	討論
