응원	應援	觀點	討論	意圖
의견	觀點	討論	意圖	服裝
의논	討論	意圖	服裝	義務
의도	意圖	服裝	義務	疑問
의류	服裝	義務	疑問	衣服
의무	義務	疑問	衣服	意願
의무적	強制性的	異國的	自私	理想的
의문	疑問	衣服	意願	衣裳
의복	衣服	意願	衣裳	意識
의사	意願	椅子	牙	當天
의상	衣裳	意識	儀式	懷疑
의식	意識	儀式	懷疑	意外
의식	儀式	儀式	懷疑	意外
의심	懷疑	意外	意欲	依賴
의외	意外	意欲	依賴	靠
의욕	意欲	依賴	靠	將要
의존	依賴	靠	將要	到處
의지	靠	將要	到處	內
의지	將要	將要	到處	內
이곳저곳	到處	內	理念	這個月
이국적	異國的	自私	理想的	人類
이기적	自私	理想的	人類	印象深刻的作品
이끌다	帶領	像這樣	完成	成真
이내	馬上	像這樣	一會兒後	所謂的
이내	內	像這樣	一會兒後	所謂的
이념	理念	這個月	移動	履歷書
이달	這個月	移動	履歷書	理論
이대로	像這樣	一會兒後	所謂的	狼
이동	移動	履歷書	理論	名牌
이따	一會兒後	所謂的	狼	來回
이래서	所以	那小孩	我的	近
이러다	像這樣	完成	成真	達到
이런저런	這個或那個	那樣	全	初次
이력서	履歷書	理論	名牌	電子郵件
이론	理論	名牌	電子郵件	印像
이롭다	有利	順手	小	好看
이루다	完成	成真	達到	到達
이루어지다	成真	達到	到達	說
이룩하다	達到	到達	說	連接
이르다	到達	說	連接	弄熟
