이르다	說	說	連接	弄熟
이른바	所謂的	狼	來回	這
이름표	名牌	電子郵件	印像	移民
이리	狼	來回	這	接著
이리저리	來回	這	接著	不一會
이만	這	接著	不一會	現在
이만큼	這麼多	錯誤	等一下	暫時
이메일	電子郵件	印像	移民	理髮
이미지	印像	移民	理髮	事件
이민	移民	理髮	事件	告別
이발	理髮	事件	告別	耳鼻喉科
이벤트	事件	告別	耳鼻喉科	理智
이별	告別	耳鼻喉科	理智	異性
이비인후과	耳鼻喉科	理智	異性	之外
이상적	理想的	人類	印象深刻的作品	一般的
이성	理智	異性	之外	用戶
이성	異性	異性	之外	用戶
이어	接著	不一會	現在	先
이어지다	連接	弄熟	變熟	因為
이왕	以往	經常	一切	自然
이외	之外	用戶	隔壁	利潤
이용자	用戶	隔壁	利潤	利率
이웃집	隔壁	利潤	利率	遷移
이윽고	不一會	現在	先	特意地
이익	利潤	利率	遷移	第二天
이자	利率	遷移	第二天	以下
이전	遷移	兩天	理解	以後
이제야	現在	先	特意地	逐個
이튿날	第二天	以下	利害闗係	理解力
이하	以下	利害闗係	理解力	離婚
이해관계	利害闗係	理解力	離婚	人類
이해력	理解力	離婚	人類	人際關係
이혼	離婚	人類	人際關係	人性
익다	順手	認同	起床	起來
익히다	弄熟	變熟	因為	起身
익히다	變熟	變熟	因為	起身
인간	人類	人際關係	人性	人格
인간관계	人際關係	人性	人格	人工
인간성	人性	人格	人工	人口
인간적	人類	印象深刻的作品	一般的	常規
